Id,Extensive Name,Short Name,Id.1,Extensive Name.1,Short Name.1
1,DefaultMode.MPFC,DM.MFPC,17,Salience.SMG l,SA.SMG_L
2,DefaultMode.LP l,DM.LP_L,18,Salience.SMG r,SA.SMG_R
3,DefaultMode.LP r,DM.LP_R,19,DorsalAttention.FEF l,DA.FEF_L
4,DefaultMode.PCC,DM.PCC,20,DorsalAttention.FEF r,DA.FEF_R
5,SensoriMotor.Lateral l,SML_L,21,DorsalAttention.IPS l,DA.IPS_L
6,SensoriMotor.Lateral r,SML_R,22,DorsalAttention.IPS r,DA.IPS_R
7,SensoriMotor.Superior,SM.S,23,FrontoParietal.LPFC l,FP.LPFC_L
8,Visual.Medial,VM,24,FrontoParietal.PPC l,FP.PPC_L
9,Visual.Occipital,VO,25,FrontoParietal.LPFC r,FP.LPFC_R
10,Visual.Lateral l,VL_L,26,FrontoParietal.PPC r,FP.PPC_R
11,Visual.Lateral r,VL_R,27,Language.IFG l,LA.IFG_L
12,Salience.ACC,SA.ACC,28,Language.IFG r,LA.IFG_R
13,Salience.AInsula l,S.A_L,29,Language.pSTG l,LA.pSTG_L
14,Salience.AInsula r,S.A_R,30,Language.pSTG r,LA.pSTG_R
15,Salience.RPFC l,SA.RPFC_L,31,Cerebellar.Anterior,CA
16,Salience.RPFC r,SA.RPFC_R,32,Cerebellar.Posterior,CP
