Seed,Target,Neuronal tracer-based structural connectivity strength,Diffusion-based structural connectivity strength,Functional connectivity strength (Z’),Euclidean distance (mm),Connection type (network),Connection type (regional)
Right S2,LeftGI,1.0,0.3,1.14,12.12,Sensorimotor network to another network,Heterotopic interhemispheric
Right DI,Right mPFC,1.44,0.3,1.01,6.7,Default mode network to another network,Intrahemispheric right
Right M1,Right Au1,1.0,0.6,1.0,8.57,Default mode network to sensorimotor network,Intrahemispheric right
Right Au1,Right M1,1.0,0.6,1.0,8.57,Default mode network to sensorimotor network,Intrahemispheric right
LeftM1,Left Au1,1.0,0.4,0.99,8.57,Default mode network to sensorimotor network,Intrahemispheric left
Left Au1,LeftM1,1.0,0.4,0.99,8.57,Default mode network to sensorimotor network,Intrahemispheric left
LeftDI,Left mPFC,1.44,0.2,0.98,6.71,Default mode network to another network,Intrahemispheric left
Right M1,Left S1BF,1.0,0.5,0.96,9.2,Within sensorimotor network,Heterotopic interhemispheric
LeftGI,Left mPFC,1.43,0.2,0.95,6.84,Default mode network to another network,Intrahemispheric left
Right GI,Right mPFC,1.43,0.1,0.93,6.83,Default mode network to another network,Intrahemispheric right
LeftV1,Right M2,1.0,0.2,0.92,9.63,Sensorimotor network to another network,Heterotopic interhemispheric
Left RSd,Left AID,1.0,0.1,0.9,9.9,Default mode network to another network,Intrahemispheric left
Right V1,LeftM2,1.0,0.2,0.9,9.64,Sensorimotor network to another network,Heterotopic interhemispheric
Right Cg1,Right AID,0.5,0.1,0.89,5.28,Default mode network to another network,Intrahemispheric right
Left RSd,LeftLO,0.5,0.1,0.89,10.65,Within default mode network,Intrahemispheric left
Right Cg1,Right V1,1.0,0.5,0.88,7.72,Default mode network to another network,Intrahemispheric right
Right S2,Left AID,0.75,0.1,0.87,11.21,Sensorimotor network to another network,Heterotopic interhemispheric
Right LO,Right V1,1.0,0.2,0.86,10.26,Default mode network to another network,Intrahemispheric right
LeftM1,Right GI,1.07,0.5,0.85,9.7,Sensorimotor network to another network,Heterotopic interhemispheric
Right GI,LeftM2,1.0,0.3,0.84,8.91,Sensorimotor network to another network,Heterotopic interhemispheric
Left Cg1,Left AID,0.5,0.1,0.83,5.28,Default mode network to another network,Intrahemispheric left
Left mPFC,Right S2,0.5,0.2,0.82,8.6,Default mode network to sensorimotor network,Heterotopic interhemispheric
Right RSd,Right AID,1.0,0.3,0.81,9.92,Default mode network to another network,Intrahemispheric right
