Neuropsychological Tests,Mean (sd),Range,Cut-off,Number impaired,Not tested
INTELLECTUAL FUNCTIONING,INTELLECTUAL FUNCTIONING,INTELLECTUAL FUNCTIONING,INTELLECTUAL FUNCTIONING,INTELLECTUAL FUNCTIONING,INTELLECTUAL FUNCTIONING
WAIS-R,88.30 (13.11),61–115,< 70,1 (CB35),–
Ravens' 47,29.44 (3.20),22–34,< 18.96,–,–
VERBAL COMPREHENSION,VERBAL COMPREHENSION,VERBAL COMPREHENSION,VERBAL COMPREHENSION,VERBAL COMPREHENSION,VERBAL COMPREHENSION
Token test,32.50 (1.53),29–35,< 32,1 (CB21),1 (CB27)
VERBAL PRODUCTION,VERBAL PRODUCTION,VERBAL PRODUCTION,VERBAL PRODUCTION,VERBAL PRODUCTION,VERBAL PRODUCTION
Denomination of words described by the examiner,1.22 (1.51),0–5,>2,"2 (CB3, CB33)","4 (CB1, CB27, CB9, CB35)"
Phrase Construction,10.64 (2.61),3–15,< 8.72,"3 (CB5, CB14, CB21)","5 (CB1, CB3, CB7, CB9, CB12)"
VERBAL MEMORY,VERBAL MEMORY,VERBAL MEMORY,VERBAL MEMORY,VERBAL MEMORY,VERBAL MEMORY
Rey's 15 mots short term,44.24 (6.47),34–61,< 28.53,–,1 (CB7)
Rey's 15 mots long term,9.92 (2.36),5–14,< 4.69,–,1 (CB7)
Forward digit span,5.72 (0.89),4–8,< 5,"2 (CB5, CB24)",1 (CB7)
Backward digit span,4.32 (1.07),3–7,< 3,–,1 (CB7)
EPISODIC MEMORY,EPISODIC MEMORY,EPISODIC MEMORY,EPISODIC MEMORY,EPISODIC MEMORY,EPISODIC MEMORY
Short-Story recall,10.75 (3.57),2–15,< 4.75,"2 (CB4, CB33)",1 (CB7)
VISUOSPATIAL MEMORY,VISUOSPATIAL MEMORY,VISUOSPATIAL MEMORY,VISUOSPATIAL MEMORY,VISUOSPATIAL MEMORY,VISUOSPATIAL MEMORY
Rey-Osterrieth figure (recall),12.57 (6.76),1–27,< 9.47,"7 (CB3, CB4, CB14, CB21, CB29, CB30, CB32)",1 (CB7)
Forward Corsi,5.36 (1.19),3–9,< 5,"5 (CB5, CB12, CB15, CB16, CB35)","2 (CB7, CB4)"
Backward Corsi,4.64 (1.11),3–8,< 3,–,"2 (CB7, CB4)"
VISUOSPATIAL ABILITY,VISUOSPATIAL ABILITY,VISUOSPATIAL ABILITY,VISUOSPATIAL ABILITY,VISUOSPATIAL ABILITY,VISUOSPATIAL ABILITY
Rey-Osterrieth figure (copy),30.97 (3.60),18–36,< 28.88,"2 (CB3, CB32)",1 (CB7)
ATTENTION,ATTENTION,ATTENTION,ATTENTION,ATTENTION,ATTENTION
Multiple features targets cancellation task,0.93 (0.07),0–1,< 0.869,"2 (CB14, CB30)",1 (CB7)
Lines cancellation task,0.28 (0.74),0–3,–,–,1 (CB7)
Trail making test:,65.13 (28.26),29–153,≥94,1 (CB33),"3 (CB7, CB9, CB35)"
A,,,,,
B,127.54 (37.14),60–211,≥283,–,"3 (CB7, CB9, CB35)"
A-B,59.71 (37.01),−8 to 178,≥187,–,"3 (CB7, CB9, CB35)"
EXECUTIVE FUNCTIONS,EXECUTIVE FUNCTIONS,EXECUTIVE FUNCTIONS,EXECUTIVE FUNCTIONS,EXECUTIVE FUNCTIONS,EXECUTIVE FUNCTIONS
Phonological fluency (FAS),30.38 (9.04),17–54,< 17.35,1 (CB9),1 (CB7)
WCST:,WCST:,WCST:,WCST:,WCST:,WCST:
Total Errors,107.62 (10.48),81–119,< 85-91,1 (CB9),1 (CB7)
Perseverative Responses,110.58 (24.38),81–138,< 85-91,–,1 (CB7)
Perseverative Errors,114.54 (13.71),81–138,< 85-91,1 (CB9),1 (CB7)
