Unnamed: 0_level_0,Unnamed: 1_level_0,Cluster Size (NoV),Coordinates,Coordinates,Coordinates,Cluster Peak Z-score,Brain region,Brodmann areas
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,x,y,z,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1
Anterior,Left I-IV,1024.0,−48,−20,28,4.97,L- Postcentral Gyrus,3
,,,−54,12,8,4.58,L- Inferior Frontal Gyrus,44
,,,−52,10,18,4.18,,
,,493.0,−38,50,0,4.66,L- Middle Frontal Gyrus,46
,,,−40,46,10,4.41,,
,,,−36,42,2,4.23,L- Orbitofrontal cortex,47
,,335.0,50,−30,36,4.39,R- Postcentral Gyrus,2
,,,38,−32,40,3.98,R- Supramarginal Gyrus,40
,,,40,−40,46,3.95,,40
,,240.0,58,24,22,4.35,R- Inferior Frontal Gyrus,45
,,,60,2,10,4.08,R- Rolandic Operculus,–
,,,50,−6,14,3.23,,
,,302.0,−6,36,14,4.03,L- Anterior Cingulate,24
,,,6,36,8,3.53,R- Anterior Cingulate,25
,,,6,36,24,3.52,,32
,Right I-IV,1189.0,−42,44,10,4.73,L- Inferior Frontal Gyrus,45
,,,−38,42,0,4.57,L- Orbitofrontal Cortex,47
,,,−38,50,2,4.33,L- Middle Frontal Gyrus,46
,,906.0,52,−4,20,4.61,R- Rolandic Operculum,–
,,,58,20,16,4.45,R- Inferior Frontal Gyrus,44
,,,66,−12,24,3.99,R- Postcentral Gyrus,43
,,1411.0,−54,14,8,4.38,L- Inferior Frontal Gyrus,44
,,,−48,−8,24,4.28,L- Precentral Gyrus,4
,,,−46,−18,28,4.26,L- Postcentral gyrus,3
,,182.0,6,−28,44,3.9,R- Posterior Cingulate,23
,,,14,−22,46,3.62,,
,,,18,−28,42,3.35,,
Intermediate,Left VI,192.0,−44,26,28,4.24,L- Middle Frontal Gyrus,46
,,,−48,26,36,4.17,,
,,,−42,32,38,3.47,,
,Right VI,447.0,−50,6,18,4.28,L- Precentral gyrus,6
,,,−52,20,−8,3.7,L- Temporal Pole,38
,,,−54,12,24,3.6,L- Inferior Frontal Gyrus,44
Posterior,Left Crus I,295.0,−34,6,56,4.85,L- Middle Frontal Gyrus,8
,,,−44,20,46,4.04,L- Middle Frontal Gyrus,9
,,1006.0,36,26,42,4.8,R- Middle Frontal Gyrus,9
,,,28,22,40,4.77,,
,,,28,8,42,4.4,,
,,406.0,26,54,0,4.71,R- Orbitofrontal Cortex,11
,,,30,50,−10,3.56,,
,,,28,28,12,4.21,R- Superior Frontal Cortex,10
,,246.0,48,36,16,3.71,R- Inferior Frontal Gyrus,45
,,,30,34,16,3.68,,
,,,36,40,16,3.67,,
,L-Crus II,366.0,30,22,44,4.58,R- Middle Frontal Gyrus,8/9
,,,46,24,40,4.18,,
,,,36,18,48,3.96,,
,R-Crus I,239.0,−46,28,14,4.5,L- Inferior Frontal Gyrus,45
,,210.0,−30,−14,56,3.96,L- Precentral Gyrus,6
,,,−34,−8,42,3.89,,
,,,−34,4,62,3.77,,
Vermis,VIIIA,7964.0,−44,20,28,4.43,L - Inferior Frontal Gyrus,44
,,,36,14,30,3.77,R - Inferior Frontal Gyrus,44
,,,−16,10,60,3.6,L - Superior Frontal Gyrus,6
,,2783.0,−40,58,16,3.79,L- Frontal Pole,46
,,,−34,−56,32,3.77,L - Angular Gyrus,19
,,,−58,−42,−6,3.66,L- Middle Temporal Cortex (STS),21/22
,VI,228.0,−42,48,−4,4.36,L- Frontal Pole,47
,,,−40,40,−16,3.89,L- Frontal Pole,47
,,,−30,50,−10,3.68,L- Frontal Pole,11/47
,,202.0,26,8,44,4.27,R- Middle Frontal Gyrus,6/8
,,,34,8,52,4.02,R- Middle Frontal Gyrus,9
,,,16,2,40,3.55,R- Anterior Cingulate,24
,,387.0,−12,8,50,4.11,L- Supplementaly Motor Area,6
,,,−16,12,64,4.01,,
,,,−10,8,58,3.79,,
,IX,635.0,−30,20,56,3.78,L- Middle Frontal Gyrus,8
,,,−40,12,54,3.77,L- Middle Frontal Gyrus,9
,,,−16,16,46,3.56,L- Anterior Cingulate,32
