Unnamed: 0,RME,ToM,“FP” Stories,“no-FP” Stories,EA
VAS-Mood,R = −0.27,R = 0.11,R = −0.20,R = 0.09,R = −0.60
,P = 0.25,P = 0.61,P = 0.34,P = 0.68,P = 0.00
VAS-Anxiety,R = 0.02,R = 0.01,R = 0.26,R = −0.17,R = −0.22
,P = 0.93,P = 0.98,P = 0.22,P = 0.43,P = 0.30
ICARS Total Score,R = −0.07,R = −0.41,R = 0.12,R = −0.13,R = 0.11
,P = 0.74,P = 0.06,P = 0.54,P = 0.53,P = 0.58
Disease Duration,R = −0.16,R = −0.20,R = −0.02,R = 0.05,R = −0.15
,P = 0.50,P = 0.38,P = 0.94,P = 0.83,P = 0.50
WCST (Total Errors),R = −0.08,R = −0.02,R = −0.24,R = 0.00,R = −0.03
,P = 0.72,P = 0.93,P = 0.25,P = 0.99,P = 0.88
WCST (Perseverative Errors),R = −0.07,R = −0.10,R = −0.22,R = 0.01,R = −0.11
,P = 0.76,P = 0.64,P = 0.27,P = 0.95,P = 0.60
FAS,R = 0.02,R = −0.31,R = 0.22,R = 0.09,R = 0.05
,P = 0.94,P = 0.12,P = 0.29,P = 0.69,P = 0.79
