Datasets,Methods,SVM,SVM,SVM,3NN,3NN,3NN,AdaBoost,AdaBoost,AdaBoost,Num
Datasets,Methods,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Num
Datasets,Methods,Accuracy (%),Sensitivity (%),Specificity (%),Accuracy (%),Sensitivity (%),Specificity (%),Accuracy (%),Sensitivity (%),Specificity (%),Num
,,,,,,,,,,,
FBIRN,NDDM,88.6±5.5,91.4±6.7,85.0±8.5,88.1±4.5,89.0±6.6,87.0±9.5,82.9±9.7,82.8±12.5,83.0±14.9,24.0
FBIRN,EGGS,87.3±9.7,88.3±8.4,86.0±13.5,88.6±5.8,89.7±7.4,87.0±8.2,83.7±4.1,85.8±7.3,81.0±7.4,66.0
FBIRN,FSDNE,87.6±5.1,92.1±7.7,82.0±9.2,85.9±8.0,89.7±7.4,81.0±11.0,79.3±9.0,82.6±9.3,75.0±12.7,82.0
FBIRN,UCFS,83.2±9.8,86.5±6.7,79.0±19.7,79.3±6.2,80.3±10.1,78.0±16.9,80.2±8.8,79.5±9.4,81.0±12.9,139.0
FBIRN,ReliefF,88.1±4.1,90.6±6.0,85.0±8.5,89.5±6.2,89.1±8.4,90.0±8.2,83.2±5.7,83.3±8.3,83.0±11.6,56.0
FBIRN,SVM-RFE,85.9±8.7,88.3±10.0,83.0±11.6,85.5±10.1,87.5±10.0,83.0±14.2,82.3±6.5,84.8±10.8,79.0±14.5,33.0
FBIRN,WIN RE,90.3±5.0,92.9±5.9,87.0±6.7,89.9±9.0,90.6±7.0,89.0±13.7,82.84±6.1,84.9±7.2,80.0±14.1,55.0
FBIRN,MGWNRE,91.2±5.4,91.3±5.9,91.0±8.8,93.9±5.1,93.8±4.9,94.0±7.0,84.6±6.3,87.2±9.6,83.0±13.4,21.0
,,,,,,,,,,,
BSNIP,NDDM,74.7±2.7,62.4±9.7,86.0±73,72.4±4.2,67.9±10.2,76.7±113,65.4±7.1,65.1±9.2,65.6±8.5,10.0
BSNIP,EGGS,71.5±6.5,64.4±9.7,78.1±12.1,68.6±3.4,64.4±7.3,72.5±9.2,59.9±9.2,53.8±16.8,65.6±8.4,10.0
BSNIP,FSDNE,73.7±6.3,73.9±11.0,73.7±10.1,61.0±5.2,52.3±11.4,69.0±11.5,66.7±9.2,63.6±16.0,69.4±11.8,10.0
BSNIP,UCFS,70.8±7.6,65.8±14.6,75.6±9.2,63.2±10.8,57.2±14.2,68.7±10.7,59.2±11.2,56.4±15.8,61.9±14.8,10.0
BSNIP,ReliefF,74.8±9.0,65.9±14.4,83.0±10.0,69.5±7.2,62.2±14.6,76.1±12.4,68.3±7.8,65.8±11.0,70.6±13.6,10.0
BSNIP,SVM-RFE,76.6±6.2,71.0±8.2,81.7±7.2,70.5±5.8,71.2±11.6,70.0±10.7,68.9±8.1,63.8±11.7,73.5±133,10.0
BSNIP,WNRE,76.0±3.4,74.5±5.3,77.4±6.2,68.6±7.1,65.9±13.0,71.2±9.3,66.3±5.9,65.8±9.5,66.9±10.7,10.0
BSNIP,MGWNRE,76.3±7.8,72.4±12.3,80.0±12.1,74.0±5.9,73.2±10.3,74.8±9.6,69.2±4.6,67.8±6.7,70.4±9.2,10.0
,,,,,,,,,,,
MPRC,NDDM,81.7±9.5,81.9±12.3,81.5±12.1,76.7±5.3,80.4±7.1,72.3±9.0,76.0±8.1,82.3±6.4,68.5±16.0,10.0
MPRC,EGGS,66.8±8.9,75.8±11.4,56.2±12.6,60.5±8.4,63.4±10.6,56.9±11.6,59.7±5.3,62.1±9.6,56.9±6.5,10.0
MPRC,FSDNE,69.3±12.1,72.5±14.6,65.4±20.9,65.4±9.2,70.6±11.9,59.2±15.8,68.6±7.2,70.8±10.2,66.2±13.2,10.0
MPRC,UCFS,65.1±8.1,69.4±10.6,60.0±12.5,64.7±6.9,68.0±9.7,60.8±11.7,59.4±8.5,66.8±10.9,50.8±13.2,10.0
MPRC,ReliefF,79.2±7.1,80.6±13.4,77.7±9.9,75.3±8.6,73.9±11.4,76.9±17.0,75.2±9.4,77.1±9.5,73.1±17.5,10.0
MPRC,SVM-RFE,75.7±8.4,76.0±13.3,75.4±9.5,72.1±6.0,74.8±11.8,69.2±13.1,68.2±11.3,72.7±14.2,63.1±13.5,10.0
MPRC,WNRE,84.2±10.1,85.2±10.3,83.1±14.9,77.7±6.0,79.1±10.1,76.2±9.2,77.4±9.7,80.4±7.6,73.8±14.6,10.0
MPRC,MGWNRE,83.8±6.1,84.3±8.9,83.1±11.4,80.6±6.3,80.6±10.0,80.8±13.2,78.1±8.7,83.0±8.7,76.2±11.7,10.0
