Datasets,Methods,SVM,SVM,SVM,3NN,3NN,3NN,AdaBoost,AdaBoost,AdaBoost,Num
Datasets,Methods,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Num
Datasets,Methods,Accuracy (%),Sensitivity (%),Specificity (%),Accuracy (%),Sensitivity (%),Specificity (%),Accuracy (%),Sensitivity (%),Specificity (%),Num
,,,,,,,,,,,
SRBCT,NDDM,100.0±0.0,100.0±0.0,100.0±0.0,98.6±4.5,100.0±0.0,98.0±6.3,94.3±6.1,97.5±7.9,93.5±8.6,54.0
SRBCT,EGGS,76.1±17.8,71.7±27.3,78.3±17.5,59.4±22.2,60.0±34.4,57.7±24.3,66.7±22.6,84.2±27.3,58.0±26.2,25.0
SRBCT,FSDNE,62.9±15.3,73.3±30.6,58.3±20.9,58.4±22.6,73.3±30.6,51.0±27.2,52.5±21.1,58.3±36.0,52.2±23.4,9.0
SRBCT,UCFS,93.5±9.6,96.7±10.5,92.0±14.0,81.3±12.4,85.0±16.1,80.9±16.5,83.8±12.1,96.7±10.5,77.1±20.0,30.0
SRBCT,ReliefF,98.8±4.0,97.5±7.9,100.0±0.0,98.8±4.0,97.5±7.9,100.0±0.0,89.4±10.2,90.0±21.1,91.7±11.2,53.0
SRBCT,SVM-RFE,98.6±4.5,96.7±10.5,100.0±0.0,97.5±5.4,96.7±10.5,98.3±5.3,94.3±8.0,92.5±16.9,96.6±7.4,20.0
SRBCT,WNRE,98.9±3.5,100.0±0.0,98.3±5.3,95.2±8.1,93.3±14.1,96.7±7.0,92.9±8.5,92.5±16.9,94.6±8.9,114.0
SRBCT,MGWNRE,100.0±0.0,100.0±0.0,100.0±0.0,100.0±0.0,100.0±0.0,100.0±0.0,95.4±6.0,97.5±7.9,94.6±8.9,53.0
,,,,,,,,,,,
Colon,NDDM,74.3±15.3,55.0±37.7,85.0±12.9,80.5±10.8,61.7±39.3,90.0±12.9,81.9±12.4,72.5±35.1,88.8±12.0,36.0
Colon,EGGS,72.1±22.2,56.7±37.0,80.0±25.8,72.9±9.7,41.7±28.6,90.0±12.9,75.7±8.7,65.0±30.9,84.3±14.6,23.0
Colon,FSDNE,69.3±22.8,55.0±29.4,77.5±24.9,59.8±17.5,33.3±33.3,75.0±20.4,69.5±22.3,64.2±39.7,72.7±29.3,10.0
Colon,UCFS,77.4±19.4,65.0±38.8,83.5±19.4,81.9±16.6,61.7±45.8,93.0±11.4,78.8±11.5,56.7±43.9,86.0±12.2,82.0
Colon,ReliefF,74.8±17.4,50.8±48.2,81.8±30.6,83.8±13.0,65.8±39.0,91.3±11.4,82.1±16.7,75.0±36.2,89.3±14.9,98.0
Colon,SVM-RFE,80.7±10.1,76.7±34.4,82.5±12.1,83.8±11.2,73.3±33.5,90.0±12.9,78.6±13.8,63.3±35.8,90.5±12.3,20.0
Colon,WNRE,77.1±11.3,58.3±40.3,87.5±13.2,80.5±17.3,66.7±40.8,87.5±13.2,85.2±14.6,65.0±41.9,95.5±9.6,81.0
Colon,MGWNRE,88.3±13.7,80.0±35.0,92.5±12.1,88.6±13.6,76.7±34.4,95.0±10.5,83.6±13.6,66.7±40.8,93.0±11.4,70.0
,,,,,,,,,,,
BRCA,NDDM,71.3±7.7,88.3±11.2,67.4±8.3,65.6±5.1,88.3±13.7,60.4±6.9,60.4±4.1,91.7±11.8,53.1±5.0,72.0
BRCA,EGGS,68.2±8.2,88.3±13.7,63.7±10.5,65.6±5.9,88.3±13.7,60.3±5.8,58.7±3.5,93.3±8.6,50.6±4.9,142.0
BRCA,FSDNE,66.3±9.7,88.3±13.7,61.2±12.2,63.6±7.6,81.7±21.4,59.5±9.7,57.7±4.1,79.7±15.3,52.6±5.2,57.0
BRCA,UCFS,70.8±4.6,85.0±14.6,67.7±7.0,65.6±5.7,84.7±14.7,61.1±5.0,61.0±6.2,81.0±16.6,56.3±5.9,339.0
BRCA,ReliefF,71.5±7.7,86.7±13.1,68.0±9.7,66.6±4.0,86.7±13.1,61.9±5.4,57.1±5.7,85.0±16.6,50.6±5.9,198.0
BRCA,SVM-RFE,64.6±7.6,86.7±13.1,59.6±8.1,63.0±8.1,86.7±15.3,57.5±8.4,57.1±3.6,85.0±16.6,50.6±3.3,126.0
BRCA,WNRE,69.6±7.3,90.0±8.6,64.9±8.6,69.5±7.0,88.3±13.7,65.2±7.9,58.4±4.6,86.7±15.3,51.8±3.7,144.0
BRCA,MGWNRE,72.2±5.5,90.0±11.7,68.4±6.5,66.2±5.8,88.3±13.7,61.1±6.3,62.6±6.4,86.7±13.1,53.5±8.1,72.0
