Unnamed: 0,Degree,Clustering coefficient,Modularity,Transitivity,Global efficiency,Assortativity in-out,Small-worldness,Strength,Characteristic path length,Flow coefficient
"Gender (M = 0, F = 1)",,,,,,"EC (β = 0.016, p = 0.043)",,,,"FC (β = −0.014, p = 0.047)"
"Race (WA = 0, AA = 1)",,,,,,"EC (β = −0.022, p = 0.022)",,"EC (β = 2.768, p = 0.042)",,
SBP,,,"EC (β = 0.001, p = 0.015)",,,,"EC (β = 0.001, p = 0.018)",,"EC (β = 0.001, p = 0.038)",
DBP,"EC (β = −0.877, p = 0.001)","EC (β = −0.001, p = 0.005)","EC (β = 0.001, p = 0.008)","EC (β = −0.001, p = 0.003)","EC (β = −0.001, p = 0.002)",,,,"EC (β = 0.002, p = 0.001)",
APOE-ε4,,,,,,,"FC (β = −0.046, p = 0.026)","FC (β = 0.600, p = 0.032)",,
Hemoglobin A1c,,,,,,,,"FC (β = −0.223, p = 0.029)",,
WMH volume,,,"FC (β = −26.3, p = 0.001)",,,,,"EC (β = 2,172, p = 0.021)","FC (β = −31.6, p = 0.017)",
Digit span backwards,,,,,,,"FC (β = −0.009, p = 0.041)",,,"FC (β = 0.003, p = 0.043)"
Vocabulary,,"EC (β = −0.001, p = 0.017)",,"EC (β = −0.001, p = 0.025)",,,,,,
