N,100
Sex (% male),33
Race (% African American),21
Age at MRI (years),54.2 ± 4.3
Education (%),"1.5 middle, 24.6 high, 29.2 vocational, 33.8 college, 10.9 post graduate"
Smoking (% smoker),20
Drinking (% drinker),5
BMI (kg/m2),31.2 ± 6.4
SBP (mm Hg),119.7 ± 14.5
DBP (mm Hg),76.0 ± 8.6
Hemoglobin A1c (%),5.7 ± 1.1
Fasting glucose level (mg/dL),96.0 ± 21.6
HOMA-IR score,3.5 ± 2.9
Fasting insulin level (mIU/mL),13.6 ± 9.7
APOE-ε4 (% APOE-ε4/ε4 or ε4/ε3 carriers),26
Gray matter volume on MRI (% of TCV),43.3 ± 1.62
White matter volume on MRI (% of TCV),36.4 ± 1.49
WMH volume on MRI (% of TCV),0.04 ± 0.05
Z-standardized mean score for all cognitive measures,1.9 ± 3.7
Digit span forwards score,11.8 ± 2.3
Digit span backwards score,7.9 ± 2.0
Logical memory I total score,22.7 ± 6.3
Logical memory II total score,17.4 ± 6.2
Logical memory II recognition total score,24.6 ± 2.4
Trail Making Test A (seconds),24.9 ± 7.7
Trail Making Test B (seconds),56.5 ± 23.7
Digit coding score,64.9 ± 14.9
Vocabulary score,31.0 ± 9.0
Word reading score,43.1 ± 7.8
