Clinical variables,Regions with decreased FC,Correlation,p‐value
Dorsal raphe,Dorsal raphe,Dorsal raphe,Dorsal raphe
Depression (HAMD score),Left amygdala,−0.331,.005
Daytime sleepiness (ESS score),Left postcentral gyrus,−0.323,.006
Anxiety (STAI score),Bilateral cingulate cortex,−0.296,.013
Median raphe,,,
Motor impairment,Bilateral pons,−0.363,.002
(MDS‐UPDRS III score),Left cerebellum,−0.268,.025
Disease severity,Left cerebellum,−0.357,.002
(Hoehn–Yahr stage),Left inferior frontal gyrus,−0.309,.009
,Left insula,−0.309,.009
Depression (HAMD score),Left thalamus,−0.343,.004
Cognition (MoCA score),Left cerebellum,0.362,.002
Sleep disorder (RBDQ‐HK score),Left inferior frontal gyrus,−0.326,.006
,Left insula,−0.326,.006
Pain (UPDRS I‐1.9),Left superior frontal gyrus,−0.301,.011
