Neuropsychological test,NAC TP0,HC group,P value
Neuropsychological test,(n = 32),(n = 30),P value
General cognition,,,
FACT-Cog,"113.05 (101.65, 118.60)","110.45 (94.95, 117.10)",0.28
PCI,"60.30 (57.83, 64.80)","59.40 (51.30, 63.23)",0.12
Oth,"16.00 (15.00, 16.00)","16.00 (14.00, 16.00)",0.42
PCA,"21.00 (16.30, 21.80)","20.61 (16.13, 21.80)",0.96
QOL,"16.00 (12.25, 16.00)","16.00 (15.00, 16.00)",0.28
Executive function and psychomotor speed,,,
TMT-A,"56.50 (34.25, 90.00)","42.00 (30.00, 57.75)",0.11
Mental flexibility,,,
VFT,"37.00 (31.00, 42.75)","32.50 (27.00, 39.25)",0.10
Working memory,,,
DST forwards,"7.00 (6.00, 8.00)","10.00 (8.75, 12.00)",<0.001
DST backwards,"4.00 (4.00, 5.00)","4.00 (4.00, 6.00)",0.63
Anxiety and depression,,,
SAS,"27.50 (26.00, 32.00)","27.50 (25.00, 31.25)",0.79
SDS,"26.00 (25.00, 30.00)","26.00 (25.00, 30.00)",0.94
