Unnamed: 0,PSP,MSA,p-Value
N,14,18,
Age (years),73.5 ± 6.2,69.3 ± 8.7,0.132
Sex (female/male),9/5,10/8,0.618
Disease duration (years),3.3 ± 1.7,5.1 ± 3.2,0.073
mRS,3.2 ± 0.8,3.5 ± 0.8,0.75
MMSE,22.8 ± 4.6,25.8 ± 3.7,0.051
FAB,9.1 ± 3.4,13.2 ± 3.6,0.004
SDS,45.1 ± 10.4,39.5 ± 11.4,0.161
AS,17.6 ± 6.7,14.8 ± 8.2,0.317
SBI (%),14.3,11.1,0.425
CMB (%),7.1,11.1,0.702
"PVH (0/1/2, %)",12.5/42.9/28.6,33.3/38.9/27.8,0.956
"DSWMH (0/1/2/3, %)",21.4/35.7/28.6/14.3,27.8/22.2/33.6/16.7,0.868
Head movement (mm),0.77 ± 0.57,0.69 ± 0.58,0.715
