Unnamed: 0_level_0,PNS (n = 21),noPNS (n = 22),p-value
Unnamed: 0_level_1,Mean ± SD/median (range),Mean ± SD/median (range),p-value
Age,53.5 ± 6.7,53.4 ± 6.5,< 0.9
BMI,30.9 ± 4.2,25.5 ± 4.2,< 0.001
IENFD lower leg (fibers/mm),3.9 ± 1.5,10 ± 2.6,< 0.001
IENFD upper thigh (fibers/mm),5.7 ± 1.5,11.5 ± 2.8,< 0.001
Time since diagnosis (years)*,5 (1–19),5 (0–14),< 0.51
Duration of pain due to the disease (years),16.8 ± 10.8,18. 8 ± 12.7,< 0.71
Number of tender points*,14 (11–18),15 (7–18),< 0.23
WPI*,13.0 (10–19),15 (8–18),< 0.82
SSS*,7 (6–10),7 (5–11),< 0.87
HbA1c (%),5.4 ± 0.3,5.3 ± 0.2,< 0.16
Sural nerve SNAP (µV),22.6 ± 7.8,25.1 ± 12.5,< 0.45
Sural nerve conduction velocity (m/s),48.3 ± 4.05,50.4 ± 3.5,< 0.09
Serum vitamin D (µg/l),30.1 ± 14.1,30.1 ± 11.1,< 0.99
Highest education level**,3 (2–5),3 (2–5),< 0.13
NPSI sum score,31. 1 ± 4.2,25.5 ± 4.2,< 0.09
GCPS pain intensity,73.6 ± 10.8,64 ± 15.1,< 0.02
GCPS disability due to pain*,66.7 (10–83.3),53.3 (16.6–86.6),< 0.09
Pain catastrophizing scale,26.7 ± 10.1,20.7 ± 10.3,< 0.06
ADS,27.8 ± 11.8,21.2 ± 11.4,< 0.07
FIQ,51.9 ± 12,42.3 ± 13.2,< 0.01
The O’Leary-Sant symptom index and problem index*,12 (0–33),9 (1–22,< 0.28
STAI,47.1 ± 11.6,44.3 ± 13.3,< 0.48
