Unnamed: 0,White matter tract,t-value,p-adjusted,Cohen's d,Group,N,Mean,SD,SE
Patients vs controls,Anterior corona radiata l,−3.292,0.009,−0.719,Controls,41,0.54,0.004,0.004
Patients vs controls,Anterior corona radiata l,−3.292,0.009,−0.719,Patients,43,0.556,0.003,0.003
Patients vs controls,Body of corpus callosum,−3.705,0.004,−0.809,Controls,41,0.825,0.003,0.003
Patients vs controls,Body of corpus callosum,−3.705,0.004,−0.809,Patients,43,0.84,0.002,0.002
Patients vs controls,Cingulum 40,−4.384,0.001,−0.957,Controls,41,0.609,0.006,0.006
Patients vs controls,Cingulum 40,−4.384,0.001,−0.957,Patients,43,0.642,0.005,0.005
Patients vs controls,Cingulum 41,−3.456,0.009,−0.754,Controls,41,0.599,0.006,0.006
Patients vs controls,Cingulum 41,−3.456,0.009,−0.754,Patients,43,0.626,0.005,0.005
Patients vs controls,Fornix 44,−3.843,0.004,−0.839,Controls,41,0.573,0.004,0.004
Patients vs controls,Fornix 44,−3.843,0.004,−0.839,Patients,43,0.595,0.004,0.004
Patients vs controls,Genu of corpus callosum,−2.939,0.01,−0.642,Controls,41,0.74,0.004,0.004
Patients vs controls,Genu of corpus callosum,−2.939,0.01,−0.642,Patients,43,0.757,0.004,0.004
Patients vs controls,Pontine crossing tract,−2.992,0.02,−0.653,Controls,41,0.768,0.004,0.004
Patients vs controls,Pontine crossing tract,−2.992,0.02,−0.653,Patients,43,0.785,0.004,0.004
Patients vs controls,Posterior corona radiata r,−2.992,0.01,−0.642,Controls,41,0.534,0.02,0.004
Patients vs controls,Posterior corona radiata r,−2.992,0.01,−0.642,Patients,43,0.551,0.02,0.004
Patients vs controls,Posterior limb of internal capsule l,−3.215,0.01,−0.702,Controls,41,0.65,0.004,0.004
Patients vs controls,Posterior limb of internal capsule l,−3.215,0.01,−0.702,Patients,43,0.668,0.004,0.004
Patients vs controls,Posterior thalamic radiation 34,−3.242,0.01,−0.708,Controls,41,0.617,0.004,0.004
Patients vs controls,Posterior thalamic radiation 34,−3.242,0.01,−0.708,Patients,43,0.634,0.004,0.004
Patients vs controls,Superior corona radiata l,−2.832,0.02,−0.618,Controls,41,0.551,0.005,0.005
Patients vs controls,Superior corona radiata l,−2.832,0.02,−0.618,Patients,43,0.568,0.004,0.004
Patients vs controls,Superior corona radiata r,−3.129,0.01,−0.683,Controls,41,0.54,0.004,0.004
Patients vs controls,Superior corona radiata r,−3.129,0.01,−0.683,Patients,43,0.556,0.003,0.003
Patients vs controls,Superior longitudinal fasciculus r,−2.773,0.02,−0.605,Controls,41,0.566,0.005,0.005
Patients vs controls,Superior longitudinal fasciculus r,−2.773,0.02,−0.605,Patients,43,0.584,0.004,0.004
Patients vs controls,Uncinate fasciculus l,−0.367,0.04,−0.080,Controls,41,0.586,0.008,0.008
Patients vs controls,Uncinate fasciculus l,−0.367,0.04,−0.080,Patients,43,0.59,0.007,0.007
