Functional connectivity (FC; all FDR and FWE p < .05 corrected),Functional connectivity (FC; all FDR and FWE p < .05 corrected),Functional connectivity (FC; all FDR and FWE p < .05 corrected),Functional connectivity (FC; all FDR and FWE p < .05 corrected),Functional connectivity (FC; all FDR and FWE p < .05 corrected),Functional connectivity (FC; all FDR and FWE p < .05 corrected),Functional connectivity (FC; all FDR and FWE p < .05 corrected),Functional connectivity (FC; all FDR and FWE p < .05 corrected),Functional connectivity (FC; all FDR and FWE p < .05 corrected),Functional connectivity (FC; all FDR and FWE p < .05 corrected)
Seed,x,y,z,Brain region,Cluster size,x.1,y.1,z.1,t value
Healthy control > patient,Healthy control > patient,Healthy control > patient,Healthy control > patient,Healthy control > patient,Healthy control > patient,Healthy control > patient,Healthy control > patient,Healthy control > patient,Healthy control > patient
,,,,,,,,,
Healthy control > patient and post‐GVS > pre‐GVS,Healthy control > patient and post‐GVS > pre‐GVS,Healthy control > patient and post‐GVS > pre‐GVS,Healthy control > patient and post‐GVS > pre‐GVS,Healthy control > patient and post‐GVS > pre‐GVS,Healthy control > patient and post‐GVS > pre‐GVS,Healthy control > patient and post‐GVS > pre‐GVS,Healthy control > patient and post‐GVS > pre‐GVS,Healthy control > patient and post‐GVS > pre‐GVS,Healthy control > patient and post‐GVS > pre‐GVS
Central insula,−36,0,−4,Superior medial frontal gyrus,95,−9,63,30,5.04
Central insula,,,,Precuneus,65,−12,54,−15,4.48
Central insula,,,,Cerebellar crus 1,77,−24,−72,−30,4.44
Central insula,,,,Superior frontal gyrus,62,18,66,24,4.42
Central insula,,,,Precuneus,113,0,−63,21,4.42
Central insula,42,4,−8,Middle frontal gyrus,78,−27,21,36,6.73
Parietal operculum (OP1),−46,−14,12,Inferior temporal gyrus,382,−45,−42,−18,5.70
Parietal operculum (OP1),,,,Inferior frontal tri.,187,−45,15,30,5.51
Parietal operculum (OP1),,,,Lingual gyrus,637,6,−78,−6,5.43
Parietal operculum (OP1),,,,Anterior orbitofrontal cortex,72,−21,33,−18,5.29
Parietal operculum (OP1),,,,Postcentral gyrus,89,63,−6,33,4.91
Parietal operculum (OP1),,,,Inferior parietal lobule,250,−39,−51,60,4.73
Parietal operculum (OP1),,,,Middle occipital gyrus,162,30,−81,15,4.62
Parietal operculum (OP1),,,,Superior medial frontal gyrus,49,−9,63,33,4.52
Parietal operculum (OP1),,,,Fusiform gyrus,54,24,−54,−15,4.39
Parietal operculum (OP2),−38,−20,16,Postcentral gyrus,72,63,−6,30,4.93
Parietal operculum (OP2),,,,Middle temporal gyrus,109,−57,−60,6,4.90
Parietal operculum (OP2),,,,SMA,107,6,−15,60,4.84
Parietal operculum (OP2),,,,Cerebellum (VI),78,24,−69,−33,4.74
Parietal operculum (OP2),,,,Precentral gyrus,55,−51,−3,42,4.72
Parietal operculum (OP2),,,,Hippocampus,52,−33,−12,−12,4.42
Parietal operculum (OP4),−52,2,2,Cuneus,67,−9,−90,27,4.86
Parietal operculum (OP4),,,,Postcentral,78,−45,−15,48,4.59
Parietal operculum (OP4),,,,Postcentral,91,57,−6,33,4.49
Parietal operculum (OP4),,,,Fusiform gyrus,121,−21,−78,−12,4.32
Parietal operculum (OP4),,,,Inferior frontal operculum,56,−33,12,30,4.28
Inferior parietal lobule,−46,−32,22,Lingual gyrus,73,−21,−63,−9,4.48
Posterior insula (lg2),38,−18,6,Precuneus,140,0,−42,57,5.17
Posterior insula (lg2),,,,Cuneus,179,−3,−78,33,4.70
Posterior insula (lg2),,,,Lingual gyrus,73,0,−78,−3,4.45
Posterior insula (lg2),,,,Superior frontal gyrus,71,−24,33,45,4.37
Posterior insula (lg2),−40,−16,14,Putamen,55,−33,−21,−3,5.62
Posterior insula (lg2),,,,Middle temporal gyrus,97,−54,−60,6,5.56
Posterior insula (lg2),,,,Fusiform gyrus,109,21,−54,−15,4.88
Posterior insula (lg2),,,,"Cerebellum (VI, Crus I)",78,24,−69,−33,4.76
Posterior insula (lg2),,,,"Cerebellum (VI, Crus I)",107,−9,−75,−12,4.56
Premotor cortex (BA6),48,4,50,Supramarginal gyrus,115,−51,−48,24,4.22
FC for patient > healthy control,FC for patient > healthy control,FC for patient > healthy control,FC for patient > healthy control,FC for patient > healthy control,FC for patient > healthy control,FC for patient > healthy control,FC for patient > healthy control,FC for patient > healthy control,FC for patient > healthy control
,,,,,,,,,
FC for healthy patient > healthy control and post‐GVS > pre‐GVS,FC for healthy patient > healthy control and post‐GVS > pre‐GVS,FC for healthy patient > healthy control and post‐GVS > pre‐GVS,FC for healthy patient > healthy control and post‐GVS > pre‐GVS,FC for healthy patient > healthy control and post‐GVS > pre‐GVS,FC for healthy patient > healthy control and post‐GVS > pre‐GVS,FC for healthy patient > healthy control and post‐GVS > pre‐GVS,FC for healthy patient > healthy control and post‐GVS > pre‐GVS,FC for healthy patient > healthy control and post‐GVS > pre‐GVS,FC for healthy patient > healthy control and post‐GVS > pre‐GVS
,,,,,,,,,
