IC,Brain region,Cluster size (voxels),tmax,MNI coordinates,MNI coordinates,MNI coordinates,"Cytoarchitectonic Brodmann area (Probability, if available)",Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,x,y,z,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1
Sensorimotor Networks (SMN),,,,,,,,,,
IC 19 (0.98),Left Postcentral Gyrus,759,13.87,–60,–14,34,Area 1 (40%),,,
Ventral,,,,,,,Area 3b (40%),,,
Somatosensory Network,Left Precentral Gyrus,same cluster,11.84,–54,–6,34,Area 4p (50%),,,
,,,,,,,Area 6 (30%),,,
,Right Postcentral Gyrus,649,11.86,50,–12,38,Area 3b (60%),,,
,,,,,,,Area 4p (50%),,,
,Right Precentral Gyrus,same cluster,11.14,54,–6,38,Area 6 (40%),,,
,,,,,,,Area 4p (40%),,,
IC 46 (0.98),Right Postcentral Gyrus,2493,14.41,42,–20,50,Area 3b (90%),,,
Right Dorsal,,,,,,,Area 4a (40%),,,
Somatosensory Network,Right Precentral Gyrus,same cluster,13.35,40,–24,62,Area 1 (40%),,,
,,,,,,,Area 6 (40%),,,
IC 48 (0.96),Left Postcentral Gyrus,2225,15.29,–36,–40,56,Area 2 (50%),,,
Left Dorsal Somatosensory,,,,,,,Area SPL (7PC) (40%),,,
Network,Left Precentral Gyrus,same cluster,14.4,–32,–26,56,Area 4p (40%),,,
,,,,,,,Area 4a (40%),,,
IC 54 (0.98),Left SMA,4412,17.93,0,–12,62,Area 6 (90%),,,
Motor Cortex,,,,,,,Area 4a (10%),,,
Right SMA,,same cluster,13.93,8,2,72,Area 6 (80%),,,
Left Precentral Gyrus,,same cluster,12.86,–36,0,58,,,,
IC 62 (0.93),Left Supramarginal Gyrus,1145,13.28,–58,–28,34,IPC (PFt) (60%),,,
Supramarginal,,,,,,,IPC (PF) (40%),,,
Gyrus,Right Supramarginal Gyrus,556,12.85,58,–34,32,IPC (PF) (80%),,,
,,,,,,,IPC (PFcm) (40%),,,
Subcortical Networks (SCN),,,,,,,,,,
