IC RSN,Average t-value,Average p-value,Brain region of the largest cluster,Cluster size (voxels),Cluster tmax,Cluster MNI coordinates*,Cluster MNI coordinates*,Cluster MNI coordinates*,"Cytoarchitectonic Brodmann area (Probability, if available)"
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,x,y,z,Unnamed: 9_level_1
A. Estimated VO2max,A. Estimated VO2max,A. Estimated VO2max,A. Estimated VO2max,A. Estimated VO2max,A. Estimated VO2max,A. Estimated VO2max,A. Estimated VO2max,A. Estimated VO2max,A. Estimated VO2max
IC 62,2.72,0.020,Left Supramarginal Gyrus,137 (+),3.89,–64,–26,32,Area PFt (IPL) (46%)
,,,,,,,,,Area PFop (IPL) (32%)
,–2.37,0.031,Right Supramarginal Gyrus,10 (-),1.88,48,–32,38,Area PFt (IPL) (45%)
,,,,,,,,,Area 2 (24%)
IC 35,2.80,0.018,Left Putamen,388 (+),4.20,–28,4,0,
,,,Left Amygdala,same cluster,2.90,–28,–6,16,Amygdala (AStr) (39%)
,,,,,,,,,Amygdala (LB) (9%)
IC 63,2.94,0.017* *,Right Precuneus,258 (+),3.92,6,–56,22,
IC 50,2.86,0.019 **,Right Insula Lobe,159 (+),5.78,42,4,–10,
IC 53,2.69,0.022,Left IFG (p. Opercularis),362 (+),3.74,–52,14,8,Area 44 (58%)
,,,,,,,,,Area 45 (14%)
,–2.37,0.031,Left Temporal Pole,7 (-),1.93,–50,14,–6,Area 45 (9%)
B. PPT,,,,,,,,,
IC 2,2.44,0.028,Left Anterior Cingulate Cortex,102 (+),3.08,–2,46,2,
IC 47,2.52,0.026,Right Angular Gyrus,579 (+),3.49,28,–52,44,Area hIP3 (IPS) (23%)
,,,,,,,,,Area hIP1 (IPS) (20%)
