Model parameters and statistics,Model parameters and statistics.1,Caudate (L),"Parahipocampal, anterior (L)",Angular (L),"Supramarginal gyrus, posterior (L)",Frontal pole (L),"Inferior temporal, temporooccipital (L)"
"HMMR modela,b",R2,0.44,0.47,0.40,0.37,0.39,0.51
"HMMR modela,b",Adjusted R2,0.38,0.42,0.34,0.31,0.33,0.46
"HMMR modela,b","F(5,53)",7.50,8.60,6.50,5.66,6.16,10.01
"HMMR modela,b",P-valuemodel (FWE-corrected),< 0.0001,< 0.0001,< 0.0001,< 0.0001,< 0.0001,< 0.0001
"HMMR modela,b",\documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\Delta {R}^{2}$$\end{document}ΔR2: R2 change,0.68,0.56,0.06,0.07,0.07,0.05
"HMMR modela,b",p-valueinteraction term,0.02,0.03,0.04,0.02,0.03,0.03
Standardized coefficientsa,Disease status,0.19,0.20,0.30,0.51,0.74,0.11
Standardized coefficientsa,Age,− 0.21,− 0.14,− 0.16,− 0.10,− 0.10,− 0.073
Standardized coefficientsa,Sex,− 0.02,0.11,0.016,0.04,0.10,0.014
Standardized coefficientsa,CC,0.90,1.13,0.94,1.02,1.18,1.023
Standardized coefficientsa,Interaction (disease status \documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\times$$\end{document}× CC),− 0.93,− 0.86,− 0.81,− 1.01,− 1.08,− 0.75
