Model parameters and statistics,Model parameters and statistics.1,Thalamus (L),Thalamus (R),Middle frontal gyrus (L),"Lateral occipital cortex, superior (L)","Supramarginal gyrus, posterior (L)",Precuneous cortex (L)
"HMMR modela,b",R2,0.43,0.44,0.37,0.37,0.39,0.38
"HMMR modela,b",Adjusted R2,0.37,0.38,0.31,0.30,0.33,0.31
"HMMR modela,b","F(5,53)",7.31,7.39,5.69,5.61,6.19,5.78
"HMMR modela,b",P-valuemodel (FWE-corrected),< 0.0001,< 0.0001,< 0.0001,< 0.0001,< 0.0001,< 0.0001
"HMMR modela,b",\documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\Delta {R}^{2}$$\end{document}ΔR2: R2 change,0.06,0.15,0.08,0.08,0.08,0.05
"HMMR modela,b",p-valueinteraction term,0.03,0.001,0.02,0.02,0.01,0.05
Standardized coefficientsa,Disease status,0.06,0.26,0.23,0.23,0.24,0.22
Standardized coefficientsa,Age,− 0.17,− 0.12,− 0.17,− 0.04,− 0.07,− 0.09
Standardized coefficientsa,Sex,0.06,0.11,0.004,0.003,0.006,0.14
Standardized coefficientsa,DC,1.01,1.39,1.03,1.02,1.11,1.03
Standardized coefficientsa,Interaction (disease status \documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\times$$\end{document}× DC),− 0.87,− 1.45,− 1.10,− 0.97,− 1.10,− 0.80
