Model parameters and statistics,Model parameters and statistics.1,Parietal operculum cortex (L)
"HMMR modela,b",R2,0.93
"HMMR modela,b",Adjusted R2,0.92
"HMMR modela,b","F(5,53)",130.89
"HMMR modela,b",P-valuemodel (FWE-corrected),< 0.0001
"HMMR modela,b",\documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\Delta {R}^{2}$$\end{document}ΔR2: R2 change,0.69
"HMMR modela,b",p-valueinteraction term,< 0.0001
Standardized coefficients a,Disease status,− 0.74
Standardized coefficients a,Age,− 0.11
Standardized coefficients a,Sex,− 0.07
Standardized coefficients a,rFDG,− 0.20
Standardized coefficients a,Interaction (disease status \documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\times$$\end{document}× rFDG),0.91
