Unnamed: 0,Cluster,Center of mass,Center of mass.1,Center of mass.2,Brain region,Cluster size (mm3),Peak value (correlation)
ACU,1,9,57,3,Superior frontal (medial) R,"13,041",0.66
ACU,2,33,−69,−45,Cerebellum crus2 R,9747,0.71
ACU,3,42,30,−15,Inferior orbitofrontal R,9612,0.71
ACU,4,−33,−75,−36,Cerebellum crus2 L,9396,0.66
ACU,5,6,0,51,Supplementary motor area R,2970,0.63
ACU,6,−63,−24,−18,Inferior temporal L,2079,0.68
ACU,7,−45,36,15,Inferior orbitofrontal L,1809,0.69
ACU,8,66,−12,−24,Middle temporal R,1728,0.59
ACU,9,−57,24,9,Inferior frontal (triang. part) L,1242,0.63
ACU,10,66,−45,−9,Inferior temporal R,972,0.56
RTP,1,3,−51,57,Precuneus R,"11,313",−0.76
RTP,2,−3,−21,9,Thalamus L,2349,0.71
RTP,3,−51,−45,15,Middle temporal L,1026,−0.56
1MO,1,6,−51,60,Precuneus R,"19,629",−0.76
1MO,2,3,−93,6,Calcarine R,3537,−0.65
1MO,3,−9,−63,3,Lingual L,3186,−0.58
1MO,4,51,−9,27,Postcentral R,2781,−0.60
1MO,5,−21,−90,30,Superior occipital L,1431,0.64
1MO,6,18,−66,12,Calcarine R,1188,−0.53
1YR,1,−15,60,0,Superior frontal (medial) L,6858,−0.73
1YR,2,−48,24,21,Inferior frontal (triang. part) L,5427,−0.74
1YR,3,−9,−42,69,Precuneus L,5400,−0.80
1YR,4,−54,−42,24,Superior temporal L,3132,−0.72
1YR,5,21,−84,−21,Cerebellum crus1 R,3051,−0.79
1YR,6,21,57,21,Superior frontal R,2376,−0.76
1YR,7,−9,−60,30,Precuneus L,1755,−0.64
1YR,8,45,3,−42,Inferior temporal R,1080,−0.81
1YR,9,−3,−81,45,Precuneus L,1053,−0.63
