Variable,SCA3 (n = 41),HCs (n = 41),T/W/x2 (p Value)
Gender (M/F),23/18,24/17,2.49(0.35b)
Age (years),17–67 (40.51 ± 12.13),21–64 (40.10 ± 11.56),−0.23(0.82a)
Onset age (years),18–58 (35.25 ± 10.67),,
Disease duration,0–21 (6.76 ± 4.98),,
CAG repeats,57–72 (65.71 ± 3.57),,
SARA,0–33 (10.62 ± 8.54),,
ICARS,0–73 (27.33 ± 19.43),,
ICARS—posture and gait disturbances,0–34 (12.78 ± 9.34),,
ICARS—kinetic functions,0–50 (12.76 ± 10.40),,
ICARS—dysarthria,0–8 (1.71 ± 2.00),,
ICARS—oculomotor disorders,0–6 (1.80 ± 1.79),,
HMAD,0–32 (7.157 ± 6.898),0–17 (1.73 ± 3.39),−4.52(0.00***a)
MoCA,10–30 (22.95 ± 4.96),19–30 (27.37 ± 2.93),4.91(0.00***a)
RVR,16–72 (36.53 ± 10.93),32–80 (50.83 ± 11.51),5.77(0.00***a)
DS,3–13 (8.72 ± 2.13),5–16 (9.51 ± 2.16),1.68(0.10a)
ADL+IADL,20–66 (28.39 ± 12.94),20–21 (20.02 ± 0.16),−5.97(0.00***c)
MMSE,13–30 (27.28 ± 3.47),22–30 (28.81 ± 1.81),2.60(0.01**c)
