BRIEF Subscale(T-Scores),Frontoparietal Network (FPN)-Left Middle Temporal Gyrus,Frontoparietal Network (FPN)-Left Middle Temporal Gyrus,Salience Network (SN)-Precuneus,Salience Network (SN)-Precuneus,Salience Network (SN)-Right Middle Fontal Gyrus,Salience Network (SN)-Right Middle Fontal Gyrus
Unnamed: 0_level_1,Food Insecure,Food Secure,Food Insecure,Food Secure,Food Insecure,Food Secure
Total (Global Executive),r = 0.142;,r = −0.315;,r = 0.177;,r = −0.277;,r = −0.090;,r = 0.179;
Total (Global Executive),p = 0.550,p = 0.176,p = 0.456,p = 0.237,p = 0.707,p = 0.449
Inhibit,r = 0.307;,r = −0.258;,r = 0.402;,r = −0.345;,r = 0.466;,r = 0.066;
Inhibit,p = 0.188,p = 0.273,p = 0.079,p = 0.137,p = 0.038 *,p = 0.783
Initiate,r = −0.067;,r = −0.282;,r = 0.148;,r = −0.414;,r = −0.147;,r = 0.044;
Initiate,p = 0.780,p = 0.228,p = 0.535,p = 0.070,p = 0.535,p = 0.854
Working Memory,r = 0.027;,r = −0.280;,r = −0.029;,r = −0.417;,r = −0.081;,r = 0.113;
Working Memory,p = 0.910,p = 0.232,p = 0.904,p = 0.067,p = 0.734,p = 0.636
Plan,r = 0.108;,r = −0.424;,r = 0.387;,r = −0.249;,r = 0.052;,r = 0.009;
Plan,p = 0.650,p = 0.063,p = 0.092,p = 0.290,p = 0.827,p = 0.969
Organize,r = 0.503;,r = 0.017;,r = 0.331;,r = −0.146;,r = −0.161;,r = 0.119;
Organize,p = 0.024 *,p = 0.944,p = 0.154,p = 0.539,p = 0.498,p = 0.619
