Unnamed: 0,CP/CPPS patients (n = 18),Healthy controls (n = 21),P value
Gender,Male,Male,—
Age/years,30.92 ± 7.69,37.56 ± 7.86,0.0626
Duration of illness/months,20.00 ± 8.49,0,<0.001
NIH-CPSI score (1 + 2 + 3 + 4 + 5 + 6 + 7 + 8 + 9),17.33 ± 4.40,0,<0.001
Pain and discomforts (1 + 2 + 3 + 4),11.55 ± 2.16,0,<0.001
Lower urinary tract symptoms (5 + 6),1.22 ± 0.78,0,<0.001
Impact on quality of life (7 + 8 + 9),4.55 ± 2.63,0,<0.001
NRS (4),2.44 ± 0.50,0,<0.001
Severity of symptoms (1 + 2 + 3 + 4 + 5 + 6),12.77 ± 2.34,0,<0.001
HADS (anxiety),8.11 ± 2.02,0.90 ± 1.22,<0.001
HADS (depression),3.22 ± 0.79,0.33 ± 0.47,<0.001
