ROI no.,Anatomical names,"MNI coordinates x, y, z","MNI coordinates x, y, z.1","MNI coordinates x, y, z.2",Volume (# of voxels)
Default mode network,Default mode network,Default mode network,Default mode network,Default mode network,Default mode network
1,Medial frontal gyrus (MFG),2,62,8,7
2,Posterior cingulate cortex (PCC),−2,−62,24,5
3,Right angular gyrus (R-AG),46,−58,28,6
4,Left angular gyrus (L-AG),−46,−58,28,5
Frontoparietal network,Frontoparietal network,Frontoparietal network,Frontoparietal network,Frontoparietal network,Frontoparietal network
5,Left inferior frontal gyrus (L-IFG),−38,38,12,12
6,Lingual gyrus/cerebellum (LG/CER),−6,−74,−12,12
7,Right Superior frontal gyrus (R-SFG),10,38,56,10
Limbic network,Limbic network,Limbic network,Limbic network,Limbic network,Limbic network
8,Right posterior orbitofrontal gyrus (R-pOFG),18,38,−24,12
9,Left posterior orbitofrontal gyrus (L-pOFG),−42,30,−20,12
10,Right superior temporal gyrus (R-STG),46,14,−44,11
11,Left superior temporal gyrus (L-STG),−42,2,−52,12
12,Dorsolateral prefrontal cortex (DLPFC),−2,46,32,12
Ventral attention network,Ventral attention network,Ventral attention network,Ventral attention network,Ventral attention network,Ventral attention network
13,Left lingual gyrus/Cuneus–Lateral occipital cortex (L-LG/CU),−14,−98,−16,20
14,Right orbitofrontal gyrus (R-aOFG),14,70,−16,5
15,Right cerebellum (R-CER),10,−66,44,20
Dorsal attention network,Dorsal attention network,Dorsal attention network,Dorsal attention network,Dorsal attention network,Dorsal attention network
16,Right anterior orbitofrontal gyrus (R-aOFG),14,58,−20,9
17,Right posterior orbitofrontal gyrus (R-pOFG),22,30,−16,14
18,Right middle frontal gyrus (R-MFG),38,42,−16,14
19,L-Inferior temporal gyrus (L-ITG),−50,−54,−16,14
