MNI centroid coordinates,MNI centroid coordinates,MNI centroid coordinates,Name of Schaefer-400 parcellation,Subnetworks,ANCOVA,ANCOVA,ANCOVA,ANCOVA,Unnamed: 9_level_0
x,y,z,Name of Schaefer-400 parcellation,Subnetworks,HC,IBS,UC,P value,F
−48,35,10,L-ContA-PFClv-1,Control,0.033,0.023,0.015,0.00046†,7.964
−42,38,22,L-ContA-PFClv-2,Control,0.036,0.021,0.018,0.00039*†,8.156
39,33,38,R-ContB-PFCld-1,Control,0.041,0.023,0.018,0.00003*†,11.093
34,15,56,R-ContB-PFCld-4,Control,0.048,0.029,0.026,0.00048*†,7.914
27,59,3,R-ContB-PFClv-4,Control,0.039,0.023,0.02,0.00076*†,7.424
−14,−57,1,L-VisPeri-ExStrInf-5,Visual,0.033,0.054,0.067,0.00003*†,10.776
18,−45,−3,R-VisPeri-ExStrInf-5,Visual,0.035,0.052,0.064,0.00034*†,8.283
16,−66,19,R-VisPeri-ExStrSup-1,Visual,0.039,0.052,0.065,0.00091†,7.23
−27,49,−14,L-SalVentAttnB-OFC-1,Salience/ ventral attention,0.012,0.009,0.004,0.00106†,7.073
