Unnamed: 0,25%,Median,75%,Mean ± SD,Minimum,Maximum
Male/Female (n),,,160/274,160/274,,
Race (n),,,"360 Caucasian, 61 African American, 13 Hispanic","360 Caucasian, 61 African American, 13 Hispanic",,
Age (years),64.0,68.0,72,69 ± 6,60.0,84.0
Body mass index (kg/m2),26.0,30.0,34,30 ± 5,19.0,47.0
Education (years),15.0,16.0,18,16 ± 2,12.0,20.0
MMSE total,28.0,29.0,30,29 ± 1,24.0,30.0
Heart rate (bpm),59.0,68.0,75,68 ± 11,39.0,106.0
Systolic blood pressure (mmHg),125.0,136.0,149,138 ± 16,103.0,188.0
Diastolic blood pressure (mmHg),74.0,79.0,84,79 ± 7,56.0,116.0
Cardiovascular risk score???,9.0,14.0,24,18 ± 13,3.0,81.0
