Site,Samples,Clinical information of patients,Clinical information of patients,Clinical information of patients,Clinical information of patients,MR Scanner,TR (ms),TE (ms),Time points
Unnamed: 0_level_1,MDD patients,HCs,HAMD score (mean ± SD),Duration of illness/month (mean ± SD)???,FEDN/non-FEDN/unknown),Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1
1,19,5,24.632 ± 5.315,30.737 ± 56.854,13/6/0,GE 3T,2000,30.0,240
2,35,38,31.057 ± 5.401,36.571 ± 55.143,35/0/0,Siemens 3T,2000,25.0,240
3,41,41,20.659 ± 5.695,unavailable,0/0/41,GE 3T,2000,40.0,240
4,21,34,21.619 ± 7.110,99.095 ± 103.342,0/21/0,GE 3T,2000,22.5,240
5,221,226,21.448 ± 5.057,49.986 ± 64.932,96/117/8,Siemens 3T,2000,30.0,242
6,60,64,17.683 ± 6.485,90.344 ± 100.525,1/59/0,Siemens 3T,2000,30.0,240
7,21,20,23.762 ± 5.576,27.658 ± 25.833,0/0/21,Philips 3T,2000,30.0,250
8,24,29,21.583 ± 5.356,25.208 ± 29.123,10/14/0,Philips 3T,2000,30.0,240
9,18,16,10.111 ± 2.541,unavailable,0/0/18,Siemens 3T,2000,25.0,240
