No.,Region name,adj-p-value,E.S. (g)
1,Precentral_L,0.048,0.21
2,Frontal_Sup_L,0.033,0.23
3,Frontal_Sup_R,0.028,0.25
4,Frontal_Sup_Orb_R,0.025,0.25
5,Frontal_Mid_L,0.04,0.23
6,Frontal_Mid_Orb_R,0.042,0.24
7,Frontal_Sup_Medial_L,0.049,0.22
8,Frontal_Sup_Medial_R,0.023,0.26
9,Frontal_Med_Orb_R,0.033,0.22
10,Cingulum_Post_L,0.025,0.27
11,Cingulum_Post_R,0.023,0.28
12,Postcentral_L,0.043,0.24
13,Postcentral_R,0.023,0.26
14,Parietal_Sup_L,0.025,0.24
15,Parietal_Inf_L,0.033,0.24
16,SupraMarginal_L,0.023,0.29
17,Angular_L,0.023,0.27
18,Angular_R,0.049,0.23
19,Paracentral_Lobule_L,0.028,0.25
