Unnamed: 0_level_0,rDCM,rDCM,rDCM,rDCM,FC,FC
Unnamed: 0_level_1,Connectivity,Connectivity.1,Inputs,Inputs.1,FC,FC.1
Fixed network,Fixed network,Fixed network,Fixed network,Fixed network,Fixed network,Fixed network
,Glasser,Schaefer,Glasser,Schaefer,Glasser,Schaefer
REST,0.96,0.96,–,–,0.95,0.94
EMOTION,0.92,0.91,0.37,0.38,0.89,0.87
GAMBLING,0.97,0.96,0.96,0.95,0.91,0.89
LANGUAGE,0.97,0.96,0.79,0.85,0.92,0.90
MOTOR,0.96,0.95,0.91,0.93,0.90,0.88
RELATIONAL,0.97,0.96,0.96,0.95,0.92,0.90
SOCIAL,0.97,0.97,0.98,0.97,0.92,0.90
WORKING MEMORY,0.95,0.95,0.89,0.90,0.90,0.88
Sparsity constraints,Sparsity constraints,Sparsity constraints,Sparsity constraints,Sparsity constraints,Sparsity constraints,Sparsity constraints
REST,0.61,0.62,–,–,0.98,0.98
EMOTION,0.90,0.89,0.66,0.61,0.91,0.91
GAMBLING,0.95,0.94,0.93,0.94,0.93,0.93
LANGUAGE,0.94,0.94,0.86,0.88,0.94,0.94
MOTOR,0.94,0.93,0.83,0.84,0.94,0.95
RELATIONAL,0.95,0.94,0.97,0.97,0.94,0.93
SOCIAL,0.95,0.95,0.97,0.97,0.95,0.95
WORKING MEMORY,0.90,0.90,0.92,0.92,0.95,0.95
