Unnamed: 0_level_0,Cross-sectional analysis,Cross-sectional analysis,Cross-sectional analysis,Longitudinal analysis,Longitudinal analysis,Longitudinal analysis,Longitudinal analysis
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,PD (n = 31),PD (n = 31),PD (n = 31),PD (n = 31)
Unnamed: 0_level_2,Controls (n = 15),PD (n = 50),PD (n = 50),Time point 1,Time point 1.1,Time point 2,Time point 2.1
Sex (M/F),10/5,26/24,26/24,14/17,14/17,14/17,14/17
Age (years),"64.4 (8.65, range 48–79))","65.5 (6.27, range 50–77)","65.5 (6.27, range 50–77)","66.2 (5.62, range 54–77)","66.2 (5.62, range 54–77)",,"69.1 (6.04, range 57–80)"
ISCED (0/1/2/3/4/5/6),0/0/2/3/1/8/1,0/0/20/15/2/13/0,0/0/20/15/2/13/0,0/0/15/8/1/7/0,0/0/15/8/1/7/0,0/0/15/8/1/7/0,0/0/15/8/1/7/0
Disease duration (years),,9.20 (3.63),9.20 (3.63),8.87 (3.75),8.87 (3.75),11.9 (3.75),11.9 (3.75)
UPDRS-III,,26.1 (8.64),26.1 (8.64),25.7 (8.55),25.7 (8.55),36.4 (9.82)**,36.4 (9.82)**
LEDD total dose,,795 (5 4 3),795 (5 4 3),675 (4 2 4),675 (4 2 4),964 (4 8 5) **,964 (4 8 5) **
Cambridge Cognitive Examination,99.2 (1.93),93.3 (8.04)*,93.3 (8.04)*,93.8 (7.53),93.8 (7.53),89.8 (14.71)**,89.8 (14.71)**
Specific neuropsychological evaluation,,,,,,,
Executive tests,,,Z < -1.5; n=,,Z < -1.5; n=,,Z < -1.5; n=
Working memory,0 (1),−1.03 (1.48)*,15,−0.821 (1.26),6,−2.17 (1.75)**,19
Spatial span,0 (1),−0.745 (0.924)*,8,−0.549 (0.764),3,−1.11 (1.14)**,14
Spatial planning,0 (1),−0.481 (1.40),9,−0.340 (1.07),3,0.043 (1.06),4
Set shifting,0 (1),−1.83 (3.65)*,17,−1.368 (3.39),9,−1.45 (2.92),9
Other domains,,,,,,,
Memory,0 (1),−0.996 (1.57)*,14,−0.598 (1.14),5,−1.43 (2.48)**,12
Motor perseveration,0 (1),−1.30 (2.17)*,16,−1.15 (2.22),10,−1.32 (1.64),11
Fluency,0 (1),−0.851 (1.41)*,15,−0.678 (1.31),8,−0.621 (0.929),7
