Cognitive tests,R2,RSN interactions involved,Unstandardized Beta,Standardized Beta,p-value
Executive tests,0.323,,,,
,,DAN-VAN,−18.815,−0.471,0.007*
,,DGM-DMN,10.399,0.294,0.098
,,DGM-FPN,14.185,0.383,0.049*
Motor perseveration,0.14,,,,
,,DAN-FPN,−19.57,−0.401,0.053
,,DAN-SMN,−11.93,−0.294,0.030*
,,DAN-DGM,17.80,0.358,0.080
