Unnamed: 0,Control (n = 76)n (%),mTBI (n = 108)n (%)
Age,,
18–35,26 (34.2),29 (26.9)
36–55,36 (47.4),50 (46.2)
55–70,14 (18.4),29 (26.9)
Sex,,
Male,46 (60.5),69 (63.9)
Female,30 (39.5),39 (36.1)
Glasgow Coma Score,,
15,–,88 (81.5)
14,–,19 (17.6)
13,–,1 (0.9)
Injury Cause,,
Road Traffic Incident,–,51 (47.2)
Incidental Fall,–,38 (35.2)
Other Non-intentional injury,–,7 (6.5)
Violence/Assault,–,7 (6.5)
Act of Mass Violence,–,1 (0.9)
Unknown,–,4 (3.7)
Strata,,
Emergency Room,–,48 (44.4)
Admission,–,60 (55.6)
6-Month GOSE,,n = 106
Score (n),–,1 (1); 4 (1); 5 (2); 6 (18); 7 (26); 8 (58)
Complete,–,58 (54.7)
Incomplete,–,48 (45.2)
6-Month PCS,,n = 98
PCS+,–,31 (31.6)
PCS−,–,67 (68.4)
