Thalamic ROI,"T1-weighted volumeF-test (1,179)","Thalamocortical FCF-test (1,180)","Average within-thalamus FCF-test (1,180)"
Left Thalamus,"F = 0.9, P = 0.96","F = 4.1, P = 0.10",–
Right Thalamus,"F = 0.02, P = 0.97","F = 2.7, P = 0.20",–
Left-hemisphere nuclei,Left-hemisphere nuclei,Left-hemisphere nuclei,
Pulvinar,"F = 0.1, P = 0.97","F < 0.01, P = 0.99","F = 2.0, P = 0.24"
Anterior,"F = 3.7, P = 0.32","F = 4.7, P = 0.08","F = 1.5, P = 0.25"
mDorsal,"F = 0.05, P = 0.97","F = 0.7, P = 0.61","F = 1.5, P = 0.25"
vlDorsal,"F = 0.4, P = 0.97","F = 6.0, P = 0.06","F = 4.8, P = 0.08"
Central,"F < 0.01, P = 0.99","F = 0.4, P = 0.63","F = 2.6, P = 0.24"
vAnterior,"F = 1.7, P = 0.80","F = 10.5, P = 0.02","F = 7.8, P = 0.03"
vlVentral,"F = 0.01, P = 0.97","F = 1.4, P = 0.41","F = 1.4, P = 0.26"
Right-hemisphere nuclei,Right-hemisphere nuclei,Right-hemisphere nuclei,
Pulvinar,"F = 4.5, P = 0.31","F = 1.3, P = 0.41","F = 5.2, P = 0.08"
Anterior,"F = 6.6, P = 0.18","F = 5.7, P = 0.06","F = 1.1, P = 0.30"
mDorsal,"F = 0.1, P = 0.97","F = 0.4, P = 0.64","F = 1.8, P = 0.24"
vlDorsal,"F = 0.1, P = 0.97","F = 9.9, P = 0.02","F = 9.0, P = 0.02"
Central,"F = 0.6, P = 0.97","F = 0.05, P = 0.87","F = 1.9, P = 0.24"
vAnterior,"F = 1.2, P = 0.90","F = 8.3, P = 0.02","F = 9.0, P = 0.02"
vlVentral,"F = 0.1, P = 0.97","F = 0.3, P = 0.65","F = 2.3, P = 0.24"
