Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,VALiDATe29 atlas coordinates,VALiDATe29 atlas coordinates,VALiDATe29 atlas coordinates,VALiDATe29 atlas coordinates,VALiDATe29 atlas coordinates
Cluster,# Voxels,P,Z-MAX,X (mm),Y (mm),Z (mm),Brain regions
Cocaine > control,Cocaine > control,Cocaine > control,Cocaine > control,Cocaine > control,Cocaine > control,Cocaine > control,Cocaine > control
9,1257,1.40E−38,7.05,−0.694,−18.6,8.05,(B) visual areas
8,553,3.96E−22,6.45,−5.66,2.29,14.6,"(L) primary motor cortex, superior parietal, dorsal prelunate gyrus"
7,167,1.02E−09,7.68,−4.67,9.24,−7.85,(L) nucleus accumbens
6,90,2.74E−06,7.05,6.26,20.2,7.11,(R) dorsal-lateral PFC
5,54,0.000242,4.86,11.2,−6.66,−0.371,"(R) middle temporal area, visual areas"
4,50,0.00042,6.45,−5.66,20.2,8.98,"(L) dorsal PFC, mOFC"
3,30,0.00859,5.58,−12.6,−21.6,−4.11,(L) visual area
2,28,0.012,4.88,−1.69,−5.66,0.565,(B) posterior cingulate
1,25,0.02,5.47,14.2,13.2,−4.11,(R) orbito-frontal cortex
Cocaine < control,Cocaine < control,Cocaine < control,,,,,
6,4449,0,21.4,6.26,11.2,1.5,"(B) putamen, caudate, insula, ventral premotor, anterior cingulate, globus pallidus, paraventricular hypothalamic nucleus, posterior cingulate, superior temporal lobe, hippocampal nuclei (CA1)/dentate gyrus, medial prefrontal area"
5,84,5.54E−06,7.91,5.27,−10.6,12.7,"(R) lateral, ventral intraparietal area"
4,31,0.00729,5.75,−10.6,14.2,7.11,"(L) dorsal, ventral PFC"
3,26,0.0169,4.75,−0.694,−16.6,−10.7,Brainstem
2,26,0.0169,5.52,−4.67,−9.64,8.98,"(L) lateral, ventral intraparietal area"
1,24,0.0239,5.11,−8.64,−18.6,−9.72,Brainstem
