BFN,Anatomical location of functional ROIs,Brodmann areas
PCC/MPFC (dDMN),"Medial prefrontal cortex, anterior cingulate cortex, orbitofrontal cortex","9, 10, 24, 32, 11"
,Right superior frontal gyrus,9
,"Posterior cingulate cortex, precuneus","23, 30"
,Midcingulate cortex,23
,Left and right angular gyrus,39
,Left and right thalamus,
,Left and right hippocampus,"20, 36, 30"
PCUN,"Midcingulate cortex, posterior cingulate cortex",23
,Precuneus,"7, 19"
,Left and right angular gyrus,"7, 40"
Insula/dACC (SN),Left middle frontal gyrus,"9, 46"
,Left and right insula,"48, 47"
,"Anterior cingulate cortex, medial prefrontal cortex, supplementary motor area","23, 32, 8, 6"
,Right middle frontal gyrus,"46, 9"
,"Left lobule VI, crus I",
,"Right lobule VI, crus I",
