Layer,Feature map,Stride,Kernel,Activation structure
Convolution,32.0,1 ×1 ×1,3 ×3 ×3,Conv
SE block,,,,
Convolution,32.0,1 ×1 ×1,3 ×3 ×3,BN + LReLU + Conv
Max-pooling,,2 ×2 ×2,2 ×2 ×2,
SE block,32.0,,,
Convolution,64.0,1 ×1 ×1,3 ×3 ×3,BN + LReLU + Conv
Convolution,64.0,1 ×1 ×1,3 ×3 ×3,BN + LReLU + Conv
Max-pooling,64.0,2 ×2 ×2,2 ×2 ×2,
SE block,,,,
Convolution,128.0,1 ×1 ×1,3 ×3 ×3,BN + LReLU + Conv
Convolution,128.0,1 ×1 ×1,3 ×3 ×3,BN + LReLU + Conv
Convolution,128.0,1 ×1 ×1,3 ×3 ×3,BN + LReLU + Conv
Max-pooling,,2 ×2 ×2,2 ×2 ×2,
Convolution,256.0,1 ×1 ×1,3 ×3 ×3,BN + LReLU + Conv
Convolution,256.0,1 ×1 ×1,3 ×3 ×3,BN + LReLU + Conv
Convolution,156.0,1 ×1 ×1,3 ×3 ×3,BN + LReLU + Conv
Max-pooling,,2 ×2 ×2,2 ×2 ×2,
Convolution,256.0,1 ×1 ×1,3 ×3 ×3,BN + LReLU + Conv
Convolution,256.0,1 ×1 ×1,3 ×3 ×3,BN + LReLU + Conv
Convolution,256.0,1 ×1 ×1,3 ×3 ×3,BN + LReLU + Conv
Convolution,2048.0,1 ×1 ×1,3 ×3 ×3,Dropout + Conv + LReLU
Convolution,1024.0,1 ×1 ×1,1 ×1 ×1,Dropout + Conv + LReLU
Dense,2.0,,,
