Number,Reference network
1,Anterior insula/dorsal ACC (anterior salience network)
2,Auditory network
3,Basal ganglia network
4,PCC/MPFC (dorsal default mode network)
5,Higher visual network
6,Language network
7,Left DLPFC/parietal (left executive control network)
8,Sensorimotor network
9,Posterior insula (posterior salience network)
10,Precuneus network
11,Primary visual network
12,Right DLPFC/parietal (right executive control network)
13,Retrosplenial cortex/medial temporal lobe (ventral default mode network)
14,Intraparietal sulcus/frontal eye fields (visuospatial network)
