Region,x,y,z,t-value
Left fusiform,−43,−77,−9,5.072
Right middle frontal,27,23,43,4.578
Left middle Frontal,−45,5,57,4.316
Left middle cingulate,−15,−19,43,4.682
Left medial Frontal,−13,9,49,4.758
Right inferior temporal,53,−69,−5,3.847
Left middle frontal,−49,33,27,3.917
Left medial frontal,−5,37,45,4.336
Right precuneus,5,−51,49,4.399
Right temporal pole,43,15,−37,4.503
Right fusiform,49,−49,−19,4.237
Right thalamus,17,−21,−11,4.268
Right calcarine,19,−47,5,4.697
