Index,Source ROI,Index.1,Destination ROI
62,"Extrastriate superior, right",5,"Extrastriate superior, left"
111,"Inferior parietal lobule, right",54,"Inferior parietal lobule, left"
46,"Dorsal prefrontal cortex, left",104,"Dorsal prefrontal cortex, right"
38,"Inferior parietal lobule, left",39,"Dorsal prefrontal cortex, left"
41,"Lateral ventral prefrontal cortex, left",39,"Dorsal prefrontal cortex, left"
20,"Insula, left",19,"Precentral ventral, left"
35,"Lateral ventral prefrontal cortex, left",84,"Lateral ventral prefrontal cortex, right"
54,"Inferior parietal lobule, left",12,"Parietal occipital, left"
69,"Parietal occipital, right",12,"Parietal occipital, left"
32,"Intraparietal sulcus, left",91,"Intraparietal sulcus, right"
67,"Auditory, right",66,"Insula, right"
79,"Parietal medial, right",21,"Parietal medial, left"
88,"Temporal pole, right",113,"Parahippocampal cortex, right"
103,"Inferior parietal lobule, right",50,"Inferior parietal lobule, left"
48,"Medial prefrontal cortex, left",46,"Dorsal prefrontal cortex, left"
39,"Dorsal prefrontal cortex, left",82,"Dorsal prefrontal cortex, right"
23,"Inferior parietal lobule, left",44,"Cingulate posterior, left"
82,"Dorsal prefrontal cortex, right",39,"Dorsal prefrontal cortex, left"
97,"Lateral dorsal prefrontal cortex, right",104,"Dorsal prefrontal cortex, right"
3,"Striate cortex, left",24,"Dorsal prefrontal cortex, left"
6,"Somatomotor A, left",15,"Postcentral, left"
75,"Parietal operculum, right",84,"Lateral ventral prefrontal cortex, right"
34,"Lateral prefrontal cortex, left",17,"Precentral ventral, left"
89,"Orbital frontal cortex, right",30,"Orbital frontal cortex, left"
81,"Inferior parietal lobule, right",75,"Parietal operculum, right"
15,"Postcentral, left",6,"Somatomotor A, left"
16,"Frontal eye fields, left",24,"Dorsal prefrontal cortex, left"
16,"Frontal eye fields, left",33,"Dorsal prefrontal cortex, left"
19,"Precentral ventral, left",24,"Dorsal prefrontal cortex, left"
77,"Precentral ventral, right",19,"Precentral ventral, left"
22,"Frontal medial, left",24,"Dorsal prefrontal cortex, left"
25,"Lateral prefrontal cortex, left",24,"Dorsal prefrontal cortex, left"
3,"Striate cortex, left",4,"Extrastriate inferior, left"
41,"Lateral ventral prefrontal cortex, left",98,"Lateral ventral prefrontal cortex, right"
72,"Postcentral, right",91,"Intraparietal sulcus, right"
20,"Insula, left",78,"Insula, right"
80,"Frontal medial, right",82,"Dorsal prefrontal cortex, right"
1,"Striate cortex, left",58,"Striate cortex, right"
16,"Frontal eye fields, left",22,"Frontal medial, left"
46,"Dorsal prefrontal cortex, left",24,"Dorsal prefrontal cortex, left"
10,"Auditory, left",67,"Auditory, right"
85,"Ventral prefrontal cortex, right",26,"Ventral prefrontal cortex, left"
32,"Intraparietal sulcus, left",13,"Superior parietal lobule, left"
112,"Retrosplenial, right",55,"Retrosplenial, left"
18,"Parietal operculum, left",94,"Cingulate anterior, right"
24,"Dorsal prefrontal cortex, left",76,"Precentral, right"
47,"Posterior cingulate cortex, left",105,"Posterior cingulate cortex, right"
109,"Dorsal prefrontal cortex, right",82,"Dorsal prefrontal cortex, right"
93,"Lateral prefrontal cortex, right",35,"Lateral ventral prefrontal cortex, left"
26,"Ventral prefrontal cortex, left",85,"Ventral prefrontal cortex, right"
29,"Temporal pole, left",76,"Precentral, right"
26,"Ventral prefrontal cortex, left",94,"Cingulate anterior, right"
29,"Temporal pole, left",94,"Cingulate anterior, right"
8,"S2, left",65,"S2, right"
76,"Precentral, right",24,"Dorsal prefrontal cortex, left"
68,"Temporal occipital, right",69,"Parietal occipital, right"
79,"Parietal medial, right",24,"Dorsal prefrontal cortex, left"
39,"Dorsal prefrontal cortex, left",76,"Precentral, right"
82,"Dorsal prefrontal cortex, right",24,"Dorsal prefrontal cortex, left"
98,"Lateral ventral prefrontal cortex, right",89,"Orbital frontal cortex, right"
17,"Precentral ventral, left",74,"Precentral ventral, right"
61,"Extrastriate inferior, right",4,"Extrastriate inferior, left"
92,"Dorsal prefrontal cortex, right",24,"Dorsal prefrontal cortex, left"
10,"Auditory, left",9,"Insula, left"
92,"Dorsal prefrontal cortex, right",33,"Dorsal prefrontal cortex, left"
59,"Extrastriate cortex, right",58,"Striate cortex, right"
70,"Superior parietal lobule, right",13,"Superior parietal lobule, left"
6,"Somatomotor A, left",63,"Somatomotor A, right"
102,"Temporal, right",24,"Dorsal prefrontal cortex, left"
99,"Medial posterior prefrontal cortex, right",42,"Medial posterior prefrontal cortex, left"
55,"Retrosplenial, left",112,"Retrosplenial, right"
17,"Precentral ventral, left",27,"Orbital frontal cortex, left"
66,"Insula, right",76,"Precentral, right"
91,"Intraparietal sulcus, right",96,"Inferior parietal lobule, right"
24,"Dorsal prefrontal cortex, left",27,"Orbital frontal cortex, left"
113,"Parahippocampal cortex, right",24,"Dorsal prefrontal cortex, left"
77,"Precentral ventral, right",76,"Precentral, right"
44,"Cingulate posterior, left",101,"Cingulate posterior, right"
80,"Frontal medial, right",76,"Precentral, right"
111,"Inferior parietal lobule, right",69,"Parietal occipital, right"
80,"Frontal medial, right",94,"Cingulate anterior, right"
4,"Extrastriate inferior, left",61,"Extrastriate inferior, right"
41,"Lateral ventral prefrontal cortex, left",27,"Orbital frontal cortex, left"
97,"Lateral dorsal prefrontal cortex, right",40,"Lateral prefrontal cortex, left"
22,"Frontal medial, left",16,"Frontal eye fields, left"
78,"Insula, right",20,"Insula, left"
92,"Dorsal prefrontal cortex, right",94,"Cingulate anterior, right"
13,"Superior parietal lobule, left",70,"Superior parietal lobule, right"
98,"Lateral ventral prefrontal cortex, right",76,"Precentral, right"
3,"Striate cortex, left",5,"Extrastriate superior, left"
11,"Temporal occipital, left",14,"Temporal occipital, left"
12,"Parietal occipital, left",14,"Temporal occipital, left"
96,"Inferior parietal lobule, right",38,"Inferior parietal lobule, left"
111,"Inferior parietal lobule, right",103,"Inferior parietal lobule, right"
74,"Precentral ventral, right",27,"Orbital frontal cortex, left"
11,"Temporal occipital, left",68,"Temporal occipital, right"
82,"Dorsal prefrontal cortex, right",27,"Orbital frontal cortex, left"
84,"Lateral ventral prefrontal cortex, right",27,"Orbital frontal cortex, left"
23,"Inferior parietal lobule, left",50,"Inferior parietal lobule, left"
75,"Parietal operculum, right",81,"Inferior parietal lobule, right"
112,"Retrosplenial, right",56,"Parahippocampal cortex, left"
60,"Striate cortex, right",61,"Extrastriate inferior, right"
99,"Medial posterior prefrontal cortex, right",27,"Orbital frontal cortex, left"
10,"Auditory, left",57,"Temporal parietal, left"
14,"Temporal occipital, left",57,"Temporal parietal, left"
45,"Inferior parietal lobule, left",50,"Inferior parietal lobule, left"
108,"Anterior temporal, right",27,"Orbital frontal cortex, left"
