Unnamed: 0,Responders (n = 14)(M ±S.D.),Non-responders (n = 5)(M ±S.D.)
The numerical rating scale for pain (last episode),The numerical rating scale for pain (last episode),The numerical rating scale for pain (last episode)
Before,8.14 ± 1.41,6.60 ± 0.89
After,2.36 ± 1.44,4.25 ± 0.96
Student's t-test; p-value,t = 13.32; p = 0.00,t = 4.; p = 0.009
The frequency of migraine (days in month),The frequency of migraine (days in month),The frequency of migraine (days in month)
Before,8.78 ± 3.02,11.00 ±2.00
After,4.36 ± 2.65,10.40 ± 2.51
Student's t-test; p-value,t = 17.67; p = 0.00,t = 0.88; p = 0.426
The Leeds dependency questionnaire,The Leeds dependency questionnaire,The Leeds dependency questionnaire
Before,13.21 ± 5.67,13.60 ± 3.36
After,6.78 ± 5.03,9.80 ± 2.77
Student's t-test; p-value,t = 5.47; p = 0.00,t = 2.49; p = 0.062
Hospital anxiety scale,Hospital anxiety scale,Hospital anxiety scale
Before,6.36 ± 2.38,9.60 ± 2.88
After,4.79 ± 2.61,5.20 ± 1.92
Student's t-test; p-value,t = 1.76; p = 0.102,t = 2.24; p = 0.089
Hospital depression scale,Hospital depression scale,Hospital depression scale
Before,5.07 ± 2.64,7.00 ± 3.32
After,3.64 ± 1.91,5.40 ± 3.29
Student's t-test; p-value,t = 2.46; p = 0.029,t = 0.76; p = 0.491
