Regions,MTSZ (baseline) minus HC,UMTSZ (baseline) minus HC
Regions,T-score(df); P-score,T-score(df); P-score
Static FC,,
HP.R,T = −2.101(35); P = 0.042∗,T = −0.717(35); P = 0.477
Dynamic FC,,
CERE.R,T = −0.342(35); P = 0.734,T = 1.503(35); P = 0.141
PCC,T = −4.034(35); P = 3 × 10−4∗∗∗,T = −2.297(35); P = 0.027∗
