Unnamed: 0_level_0,TBI (N = 16),TBI (N = 16),HC (N = 17),HC (N = 17),Unnamed: 5_level_0
Unnamed: 0_level_1,Mean ± SD or N (%),Range,Mean ± SD or N (%),Range,p-value
Age (years),37.1 ± 13.6,21–65,39.0 ± 13.4,20–67,"t(31) = 0.41, p = .68"
Sex (male),12 (75.0%),,13 (76.5%),,"Χ2(1, 33) = 0.01, p = .92"
Years of education,17.1 ± 2.7,11–21,16.8 ± 1.9,14–19,"t(31) = −0.33, p = .74"
Living independently,16 (100%),,17 (100%),,"Χ2(1, 33) = 0.00, p = 1.0"
Employed at the moment of the study,12 (75%),,14 (82.4%),,"Χ2(1, 33) = 0.27, p = .61"
Hours of employment (per week),29.3 ± 10.0,8–40,35.9 ± 5.6,24–40,"t(24) = 2.12, p = .045"
"Medication, yes",4 (29%),,4 (24%),,"Χ2(1, 33) = 0.01, p = .92"
Psycho-active medication,0 (0%),,0 (0%),,
Time since injury (months),25 ± 2.2,6–71,–,–,
Post-traumatic amnesia (days),8.7 ± 11.9,0–30,–,–,
Loss of consciousness (hours),49 ± 99.9,0–336,–,–,
Start time of the 2nd visit,12:20 ± 2:25,8:30–17:00,13:03 ± 2:29,9:00–17:00,"t(31) = −0.83, p = .41"
Sleep quality (PSQI score),6.5 ± 3.4,1–13,4.8 ± 2.7,1–11,"t(31) = −1.57, p = .13"
Clinically significant (>5),10 (63%),,5 (29%),,
Trait Fatigue (FSS score),4.0 ± 1.5,1.4–6.3,3.1 ± 1.0,1.2–4.9,"t(31) = −2.09, p = .045"
Clinically significant (≥4),8 (50%),,3 (18%),,
Depression (HADS score),6.2 ± 4.4,1–14,2.5 ± 2.4,0–8,"t(22.7) = −3.02, p = .006"
Clinically significant (≥8),7 (43.8%),,1 (6%),,
Anxiety (HADS score),6.2 ± 2.4,2–10,3.4 ± 2.3,0–8,"t(31) = −3.40, p = .002"
Clinically significant (≥8),5 (31.3%),,1 (6%),,
"SD, standard deviation; PSQI, Pittsburgh Sleep Quality Index; FSS, Fatigue Severity Scale; HADS, Hospital Anxiety and Depression Scale.","SD, standard deviation; PSQI, Pittsburgh Sleep Quality Index; FSS, Fatigue Severity Scale; HADS, Hospital Anxiety and Depression Scale.","SD, standard deviation; PSQI, Pittsburgh Sleep Quality Index; FSS, Fatigue Severity Scale; HADS, Hospital Anxiety and Depression Scale.","SD, standard deviation; PSQI, Pittsburgh Sleep Quality Index; FSS, Fatigue Severity Scale; HADS, Hospital Anxiety and Depression Scale.","SD, standard deviation; PSQI, Pittsburgh Sleep Quality Index; FSS, Fatigue Severity Scale; HADS, Hospital Anxiety and Depression Scale.","SD, standard deviation; PSQI, Pittsburgh Sleep Quality Index; FSS, Fatigue Severity Scale; HADS, Hospital Anxiety and Depression Scale."
