Intrinsic Network,Group Comparison,Brain Region,H,BA,Cluster Size,Cluster Size,MNI Coordinate,MNI Coordinate,t Stat.,Z score,p FDR Cluster
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,x,y,z,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1
DMN,PTSD+DS > PTSD,Middle dorsal PFC/MFG,L,8/9,85,−32,0,64,4.77,4.74,0.016
,Healthy > PTSD+DS,Precuneus/ superior parietal lobe,L,7,75,−6,−68,54,4.71,4.68,0.032
Left CEN,Healthy > PTSD,Superior/middle temporal gyrus,L,21,129,−64,−54,10,4.33,4.31,0.008
Right CEN,PTSD+DS > PTSD,Lateral orbitofrontal cortex,R,11,91,48,30,−10,3.92,3.9,0.012
Anterior SN,Healthy > PTSD+DS,Primary visual cortex,R,17,113,9,−84,1,5.08,5.04,0.005
Posterior SN,PTSD+DS > PTSD,Middle dorsal PFC,R,8/9,201,28,30,46,4.5,4.48,0.003
,PTSD > PTSD+DS,Anterior insula,L,,79,−28,18,10,4.58,4.55,0.029
,PTSD+DS > Healthy,Cuneus/precuneus,,17,86,0,−92,20,4.95,4.92,0.02
,,Precentral gyrus,L,4,55,−3,−22,70,4.64,4.61,0.039
,,,R,4,54,42,−8,54,4.09,4.07,0.039
,PTSD > Healthy,Posterior insula,L,,88,−36,−20,17,5.15,5.11,0.007
,,Cuneus/precuneus,,17,124,−2,−90,20,4.92,4.89,0.002
,Healthy > PTSD,Supramarginal gyrus,R,40,205,64,−46,34,5.11,5.08,0.001
,,dlPFC,R,9,68,60,14,27,5.11,5.07,0.04
