No,Fig.,Description???,Description???.1,Statistics,Power
EPM test,EPM test,EPM test,EPM test,EPM test,EPM test
aa,???,Open arm #,CRS group (n = 24/timepoint),Paired median difference= –1.0p = 0.0,"–1.0, –1.0baseline = 0.88 ± 0.18restraint = 0.32 ± 0.13"
ab,???,Open arm #,Healthy group (n = 8/timepoint),Paired median difference= –1.0p = 0.246,"–1.0, –1.0baseline = 1.75 ± 0.62restraint = 0.38 ± 0.26"
ac,???,Open arm time,CRS group (n = 24/timepoint),Paired median difference= –1.5p = 0.15,"–8.0, 0.0baseline = 5.79 ± 1.43 srestraint = 2.52 ± 1.15 s"
ad,???,Open arm time,Healthy group (n = 6/timepoint),Paired median difference= –3.0p = 0.38,"–24.0, 0.0baseline = 6.83 ± 3.89 srestraint = 2.63 ± 2.01 s"
ae,???,Closed arm #,CRS group (n = 24/timepoint),Paired Cohen’s d = 0.462p = 0.0282,"–0.0122, 0.856baseline = 5.63 ± 0.66restraint = 7.20 ± 0.74"
af,???,Closed arm #,Healthy group (n = 8/timepoint),Paired Cohen’s d = 0.114p = 0.639,"–0.647, 0.51baseline = 8.00 ± 1.72restraint = 8.63 ± 2.13"
ag,???,Closed arm time,CRS group (n = 24/timepoint),Paired Cohen’s d = 0.212p = 0.47,"–0.415, 0.777baseline = 220.83 ± 9.06 srestraint = 230.60 ± 7.81 s"
ah,???,Closed arm time,Healthy group (n = 8/timepoint),Paired Cohen’s d = 0.056p = 0.888,"–0.848, 0.851baseline = 221.75 ± 12.82 srestraint = 224.13 ± 16.89 s"
ai,???,Grooming #,CRS group (n = 24/timepoint),Paired Cohen’s d = –0.921p = 0.001,"–1.41, –0.357baseline = 4.63 ± 0.64restraint = 2.28 ± 0.31"
aj,???,Grooming #,Healthy group (n = 8/timepoint),Paired Cohen’s d = 0.232p = 0.464,"–0.511, 1.17baseline = 3.00 ± 1.10restraint = 3.63 ± 0.78"
ak,???,Grooming time,CRS group (n = 23/timepoint),Paired Cohen’s d = –0.642p = 0.0016,"–1.09, –0.185baseline = 24.70 ± 3.93 srestraint = 14.48 ± 3.30 s"
al,???,Grooming time,Healthy group (n = 8/timepoint),Paired Cohen’s d = –0.326p = 0.411,"–1.11, 0.352baseline = 24.63 ± 9.89 srestraint = 17.75 ± 3.70 s"
am,???,Rearing #,CRS group (n = 23/timepoint),Paired Cohen’s d = –0.2p = 0.422,"–0.732, 0.327baseline = 17.79 ± 0.86restraint = 16.92 ± 1.14"
an,???,Rearing #,Healthy group (n = 7/timepoint),Paired Cohen’s d = 0.533p = 0.19,"–0.852, 1.13baseline = 16.14 ± 1.52restraint = 17.38 ± 1.82"
ao,???,Rearing time,CRS group (n = 24/timepoint),Paired Cohen’s d = 0.187p = 0.501,"–0.364, 0.73baseline = 41.38 ± 1.72 srestraint = 44.36 ± 3.36 s"
ap,???,Rearing time,Healthy group (n = 8/timepoint),Paired Cohen’s d = 0.117p = 0.618,"–0.639, 0.552baseline = 41.88 ± 5.43 srestraint = 43.38 ± 3.42 s"
SPT,,,,,
aq,,CRS group (n = 25/timepoint),CRS group (n = 25/timepoint),Paired Cohen’s d = 0.289p = 0.312,"–0.294, 0.889baseline = 0.63 ± 0.03restraint = 0.69 ± 0.04"
