#,Region of interest,Functional network
1,Left amygdala,Limbic
2,Left anterior insula,Limbic
3,Left cuneus,Visual
4,Left frontal eye field,Dorsal attention
5,Left inferior frontal lobe,Dorsal Attention
6,Left inferior parietal lobe,Default mode
7,Left mid frontal gyrus,Dorsal Attention
8,Left parahippocampus,Limbic
9,Left posterior intraparietal sulcus,Dorsal attention
10,Left primary auditory cortex,Auditory
11,Left primary visual cortex,Visual
12,Left superior occipital lobe,Visual
13,Left superior temporal junction,Auditory/Limbic/Visual
14,Left superior temporal sulcus,Auditory
15,Left ventral intraparietal sulcus,Dorsal attention
16,Medial prefrontal cortex,Default mode
17,Posterior cingulate cortex,Default mode
18,Precuneus,Default mode
19,Right amygdala,Limbic
20,Right anterior insula,Limbic
21,Right cuneus,Visual
22,Right frontal eye field,Dorsal attention
23,Right inferior frontal lobe,Dorsal Attention
24,Right inferior parietal lobe,Default mode
25,Right mid frontal gyrus,Dorsal Attention
26,Right parahippocampus,Limbic
27,Right posterior intraparietal sulcus,Dorsal attention
28,Right primary auditory cortex,Auditory
29,Right primary visual cortex,Visual
30,Right superior occipital lobe,Visual
31,Right superior temporal junction,Auditory/Limbic/Visual
32,Right superior temporal sulcus,Auditory
33,Right ventral intraparietal sulcus,Dorsal attention
