Optimal Volume Censoring Parameters for the HCP500 Dataset (HCP Dataset 1),Optimal Volume Censoring Parameters for the HCP500 Dataset (HCP Dataset 1),Optimal Volume Censoring Parameters for the HCP500 Dataset (HCP Dataset 1)
Unnamed: 0_level_1,No GSR,With GSR
LPF-FD Volume Censoring Only,LPF-FD Volume Censoring Only,LPF-FD Volume Censoring Only
LPF-FD ΦF (mm),0.0318,0.0337
% Frames Removed,46.68,43.32
GEV-DV Volume Censoring Only,GEV-DV Volume Censoring Only,GEV-DV Volume Censoring Only
GEV-DV dG (dimensionless),1.16,1.36
% Frames Removed,45.95,37.95
Combined LPF-FD and GEV-DV Volume Censoring,Combined LPF-FD and GEV-DV Volume Censoring,Combined LPF-FD and GEV-DV Volume Censoring
LPF-FD ΦF (mm),0.0339,14.336
GEV-DV dG (dimensionless),1.39,1.30
ΦF / dG ratio (mm),0.02438,11.0277
Frames Removed (%),56.15,40.06
