Local measure,Brain region (AAL),Voxels,"Peak MNI coordinate (x, y, z)",T-value
fALFF,Occipital_Mid_L,"2,539","(−36, −78, 36)",6.77
fALFF,Cerebellum_Crus1_L,434,"(−33, −63, −36)",-3.18
fALFF,Cingulate_Mid_L,72,"(0, −30, 33)",5.70
fALFF,Precuneus_R,62,"(9, −57, 24)",4.10
fALFF,Cerebellum_8_R,60,"(27, −45, −45)",-3.18
fALFF,Rectus_R,48,"(6, 42, −24)",-3.18
fALFF,Calcarine_L,38,"(−9, −54, 6)",4.48
fALFF,Precentral_R,32,"(39, 0, 48)",-3.19
FCS,Occipital_Mid_L,"5,983","(−18, −12, 27)",8.61
FCS,Frontal_Mid_L,134,"(−30, 24, 60)",4.32
FCS,Frontal_Sup_R,111,"(33, 0, 69)",4.37
DC,Occipital_Mid_R,"2,706","(33, −99, 3)",33.27
DC,Cerebellum_4_5_L,368,"(9, −36, −24)",4.14
DC,Fusiform_L,162,"(−36, −30, −15)",26.00
DC,Rolandic_Oper_R,117,"(36, −3, 18)",10.11
DC,Postcentral_L,96,"(−51, 21, 48)",19.22
DC,Temporal_Sup_L,84,"(−72, −24, 3)",11.78
DC,Fusiform_L,77,"(−24, 9, −45)",12.22
DC,Rectus_L,55,"(−9, 60, −24)",4.80
DC,Calcarine_R,54,"(27, −66, 12)",-3.17
ReHo,Occipital_Mid_L,"4,753","(−33, −87, 33)",7.08
ReHo,Frontal_Sup_L,"2,018","(−15, −9, 72)",-3.17
ReHo,Fusiform_R,726,"(30, −54, −3)",5.61
ReHo,Temporal_Sup_R,603,"(48, −9, −15)",-3.17
ReHo,Frontal_Sup_Medial_L,207,"(3, 57, 33)",-3.17
ReHo,Lingual_L,186,"(−24, −69, −12)",5.11
ReHo,OFCpost_L,178,"(−27, 21, −27)",−3.17
ReHo,Putamen_L,154,"(−24, 0, 6)",5.55
VMHC,Occipital_Mid_L,"3,058","(−27, −93, 0)",7.76
VMHC,Calcarine_R,"2,968","(27, −93, 0)",7.76
VMHC,Cerebellum_Crus2_R,180,"(18, −84, −42)",5.84
VMHC,Cerebellum_9_L,68,"(−6, −45, −48)",4.85
VMHC,Rolandic_Oper_R,57,"(39, −30, 18)",4.53
VMHC,Rolandic_Oper_L,56,"(−39, −30, 18)",4.53
VMHC,Supp_Motor_Area_R,51,"(9, 21, 48)",4.95
VMHC,Cerebellum_9_R,48,"(6, −45, −48)",4.85
VMHC,Parietal_Sup_R,48,"(39, −15, 72)",4.02
VMHC,Frontal_Sup_L,43,"(−9, 21, 48)",4.95
