Network,Seed region,"MNI coordinates (x, y, z)"
DMN,PCC,"(2, −54, 26)"
DAS,IPS R,"(24, −60, 50)"
ECN (L),Left DLPFC,"(−42, 34, 20)"
ECN (R),Right DLPFC,"(44, 36, 20)"
Motor dorsal (L),Left precentral gyrus hand knob,"(−28, −26, 64)"
Motor dorsal (R),Right precentral gyrus hand knob,"(34, −24, 60)"
Motor ventral (L),Left precentral gyrus ventral,"(−56, −6, 24)"
Motor ventral (R),Right precentral gyrus ventral,"(60, −2, 24)"
Salience (L),Left anterior insula,"(−32, 26, −14)"
Salience (R),Right anterior insula,"(38, 22, −10)"
Visual primary,BA17,"(8, −78, 8)"
Visual secondary,BA18,"(−22, −90, 2)"
