Brain region,Brodmann area,Montreal Neurological Institute (X Y Z),Montreal Neurological Institute (X Y Z).1,Montreal Neurological Institute (X Y Z).2,Cluster size (mm3),T value,Q value
Right Occipital Lobe,19.0,12,− 54,− 15,"126,198",10.6,< 0.01
Right Hippocampus,20.0,33,− 3,− 27,216,4.62,< 0.01
Left Putamen,,− 24,− 3,6,"13,554",7.4,< 0.01
Right Hippocampus,20.0,36,− 27,− 15,378,4.18,< 0.01
Right Putamen,,24,6,0,1350,4.67,< 0.01
Left Thalamus,,− 12,− 21,6,621,4.63,< 0.01
Right Insula,48.0,36,− 3,9,810,4.22,< 0.01
Right Lateral Occipital Cortex,37.0,51,− 60,12,189,4.45,< 0.01
Left Postcentral Gyrus,48.0,− 51,− 21,21,486,4.27,< 0.01
Left Precentral Gyrus,6.0,− 57,6,24,135,4.64,< 0.01
Left Angular Gyrus,39.0,− 48,− 66,24,162,3.98,< 0.01
Left Precentral Gyrus,4.0,− 33,− 21,48,9396,7.49,< 0.01
Left Frontal Pole,32.0,− 12,42,39,351,4.3,< 0.01
Left Supplementary Motor Area,6.0,− 6,0,54,3834,8.39,< 0.01
Right Precentral Gyrus,6.0,51,0,45,648,4.67,< 0.01
