Subject ID,Brodmann area,Coordinate (X Y Z),Coordinate (X Y Z).1,Coordinate (X Y Z).2,T value,p Value (uncorrected)
Sub001,6.0,− 54,3,42,3.65,< 0.001
Sub002,6.0,− 48,− 3,51,5.87,< 0.001
Sub003,6.0,− 51,− 12,54,7.13,< 0.001
Sub004,4.0,− 51,− 12,45,5.28,< 0.001
Sub005,6.0,− 45,6,42,5.22,< 0.001
Sub006,4.0,− 39,− 18,54,3.8,< 0.001
Sub007,4.0,− 36,− 18,51,5.75,< 0.001
Sub008,4.0,− 42,− 18,51,4.33,< 0.001
Sub009,6.0,− 39,− 15,54,4.68,< 0.001
Sub010,4.0,− 51,− 9,45,6.49,< 0.001
Sub011,6.0,− 48,− 3,48,1.5,< 1
Sub012,6.0,− 48,− 3,51,4.9,< 0.001
Sub013,4.0,− 36,− 18,54,4.12,< 0.001
Sub014,6.0,− 42,− 6,57,6.53,< 0.001
Sub015,6.0,− 42,− 6,57,7.81,< 0.001
Sub016,4.0,− 42,− 18,54,8.07,< 0.001
Sub017,6.0,− 48,0,51,1.59,< 0.1
Sub018,6.0,− 36,− 12,54,6.09,< 0.001
Sub019,6.0,− 51,− 9,48,4.77,< 0.001
Sub020,6.0,− 54,− 3,45,3.65,< 0.001
Sub021,3.0,− 39,− 21,51,3.77,< 0.001
Sub022,4.0,− 39,− 21,54,8.28,< 0.001
Sub023,6.0,− 42,− 6,57,3.05,< 0.005
Sub024,6.0,− 42,− 3,48,3.9,< 0.001
Sub025,6.0,− 54,0,42,2.01,< 0.05
Sub026,4.0,− 51,− 12,45,5.59,< 0.001
Sub027,6.0,− 42,− 3,57,4.02,< 0.001
Sub028,6.0,− 36,− 15,60,7.22,< 0.001
Sub029,6.0,− 42,− 6,57,3.43,< 0.001
Sub030,4.0,− 48,− 12,42,4.49,< 0.001
Mean,,− 45,− 9,51,,
