Condition,Brain regions,BA,Peak T-scores,MNI coordinates,MNI coordinates,MNI coordinates,Cluster size (voxels)
Condition,Brain regions,BA,Peak T-scores,x,y,z,Cluster size (voxels)
iridocyclitis >HC,CerC1_L,-,4.1486,-6,-72,-51,4014
iridocyclitis >HC,CER_10_L,–,3.5071,-21,-39,-42,49
iridocyclitis >HC,ITG_L,20,3.281,-48,-18,-33,79
iridocyclitis >HC,Hipp_R,–,2.8445,21,-12,-18,42
iridocyclitis >HC,ITG_R,19,3.3436,60,-63,-3,58
iridocyclitis >HC,SOG_L,17,3.2622,-18,-87,6,286
iridocyclitis <HC,CAL_B,18,-4.8233,21,-48,9,1440
iridocyclitis <HC,PosCG_L,6,-4.6021,-51,-18,48,1719
iridocyclitis <HC,PosCG_R,6,-4.4712,66,0,21,901
