Brain region,Peak MNI coordinates,Peak MNI coordinates.1,Peak MNI coordinates.2,Cluster size (mm3),Peak T-value,ReHodirection
,x,y,z,,,
Left dorsolateral,−54,12,30,190.0,−3.07,PPD < HC
prefrontal cortex,,,,,,
Right insula,42,−3,−15,55.0,−3.75,PPD < HC
Left precuneus,−1,−63,42,120.0,4.52,PPD > HC
Right hippocampus,33,−12,−18,89.0,2.23,PPD > HC
