Variable,Concussion Participants (N = 55),Orthopedic injury (OI) Participants (N = 27),PValue???
"Median age (IQR), in years",12.87 (11.68–14.36),12.54 (11.25–14.02),0.361
Female (%),26 (47.3 %),10 (37 %),0.38
Right handedness (%),47 (85.5 %),19 (73.1 %),0.181
Randomization groupGroup A (Rest Group)Group B (Experimental Group),25 (45.5 %)30 (54.5 %),,
"Median Time (IQR) Between Injury and 4-Week MRI, in days (OI group n = 26)",30.23 (28.21–32.08),29.98 (25.92–32.10),0.16
Median gcs score (iqr),15 (15–15),,
Median number of previous concussions (iqr) (concussion group n = 54),0 (0–1),0 (0–0),0.309
Diagnostic history:(concussion group n = 53),,,
Learning disabilities (%),6 (11.3 %),2 (7.4 %),0.581
Adhd (%),10 (18.9 %),4 (14.8 %),0.652
Other developmental disorder (specify):,2 (3.8 %),0 (%),0.316
Anxiety (%),11 (20.8 %),3 (11.1 %),0.283
Depression (%),4 (7.5 %),1 (3.7 %),0.502
Sleep disorder (%),2 (3.8 %),1 (3.7 %),0.988
Other psychiatric disorder (%),0 (0 %),1 (3.7 %),0.159
"Median composite diagnostic score (iqr)(number of previous concussions, adhd, anxiety, depression, and learning disabilities)",1 (0–2),0 (0–1),0.084
Median hbi score at 4 weeks (iqr)(concussion group n = 53),12.00 (4.00–19.00),8 (3.00–18.00),0.572
Mechanism of injury (%),,,
Sport:,32 (58.2 %),,
Hockey,7 (12.7 %),,
Soccer,11 (20.0 %),,
"Recreational play (gym, recess)",4 (7.3 %),,
Skating,1 (1.8 %),,
Football,2 (3.6 %),,
Basketball,1 (1.8 %),,
Badminton,2 (3.6 %),,
Dodgeball,1 (1.8 %),,
Rugby,2 (3.6 %),,
Four-square,1 (1.8 %),,
Ran into stationary object,5 (9.1 %),,
Fall from standing/walking/running,7 (12.7 %),,
Fall from elevation,1 (1.8 %),,
Fall down stairs,2 (3.6 %),,
Other mechanisms,8 (14.5 %),,
