Unnamed: 0,Country-1,Country-2,Country-3
A. Acquisition parameters,A. Acquisition parameters,A. Acquisition parameters,A. Acquisition parameters
Firm,Philips Intera,Philips Achieva,Philips Achieva
Tesla,1.5 T,3 T,3 T
Number of slices,33,40,29
Voxel size,3.6 x 3.6 × 4 mm,3 x 3 × 3 mm,1.88 x 1.88 × 4.5 mm
Flip angle,90,90,90
Acquisition,Ascending. Parallel to the anterior and posterior commissures.,Ascending. Parallel to the anterior and posterior commissures.,Ascending. Parallel to the anterior and posterior commissures.
Repetition time,2777 ms,3000 ms,2000 ms
Echo time,50 ms,30 ms,30 ms
Duration,10 min,5 min,7 min
Instruction,“Do not think about anything in particular”,“Do not think about anything in particular”,“Do not think about anything in particular”
Number of volumes,209,120,208
