Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12,Mean,STD
IRI Total (1),−,,,,,,,,,,,,75.79,11.12
IRI Affective Empathy (2),0.60,−,−,,,,,,,,,,31.84,6.3
IRI Personal Distress (3),0.11,0.79,−,,,,,,,,,,10.24,5.61
IRI Empathic Concern (4),0.80,0.48,−0.17,−,,,,,,,,,21.6,3.85
IRI Cognitive Empathy (5),0.83,0.05,−0.41,0.67,−,,,,,,,,44.0,8.52
IRI Perspective Taking (6),0.58,−0.15,−0.52,0.50,0.83,−,,,,,,,21.64,4.97
IRI Fantasy (7),0.80,0.22,−0.18,0.61,0.84,0.39,−,,,,,,22.36,5.25
MAIA Total (8),−0.23,−0.64*,−0.66*,−0.08,0.16,0.31,−0.04,−,,,,,23.28,4.36
MAIA Awareness of Body Sensations (9),−0.30,−0.36,−0.19,−0.29,−0.12,−0.17,−0.03,0.54,−,,,,2.98,0.81
MAIA Emotional Reaction (10),−0.33,−0.23,−0.21,−0.08,−0.25,−0.11,−0.31,0.37,−0.03,−,,,5.65,1.26
MAIA Capacity to Regulate Attention (11),−0.33,−0.83*,−0.74*,−0.27,0.17,0.32,−0.03,0.79,0.48,0.24,−,,3.05,0.94
MAIA Awareness of Mind Body Integration (12),0.09,−0.34,−0.49*,0.16,0.35,0.41*,0.18,0.82,0.37,−0.05,0.50,-,8.12,2.46
MAIA Trusting Body Sensations (13),−0.25,−0.55*,−0.53*,−0.12,0.08,0.31,−0.18,0.71,0.21,0.32,0.53,0.40,3.48,1.08
