Group comparison,ROI (seeds),Brain regions,Side,Coordinates (mm),Coordinates (mm),Coordinates (mm),MW test Z-value,Voxels
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,x,y,z,Unnamed: 7_level_1,Unnamed: 8_level_1
HC vs. WE,Posterior cerebellar vermis,Inferior parietal lobule,R,30,−40,30,2.535,752
,,Middle frontal gyrus,L,−38,28,36,−2.366,331
,Insula,Inferior frontal gyrus,L,−54,8,26,2.535,625
,,Superior temporal gyrus,R,44,10,−8,2.535,595
,,Precuneus,L,−14,−52,38,2.535,378
,Parietal operculum,Superior temporal gyrus,L,−52,−18,4,2.535,339
,Calcarine cortex,Fusiform gyrus,R,38,−46,−12,2.535,655
,,Postcentral gyrus,R,44,−28,38,2.535,425
,,Precuneus,L,−8,−50,36,2.535,365
,,Parahippocampal gyrus,R,24,−46,4,2.535,318
