Unnamed: 0,Healthy control group,ID group,t,P
PSQI,,,,
Sleep quality,0.06 ± 0.25,2.52 ± 0.634,19.99,≤0.001∗
Sleep latency,0.19 ± 0.40,2.59 ± 0.825,14.44,≤0.001∗
Sleep duration,0.35 ± 0.48,2.52 ± 0.74,13.49,≤0.001∗
Sleep efficiency,1.78 ± 1.43,3.00 ± 0.12,4.61,≤0.001∗
Sleep disturbances,0.35 ± 0.49,1.52±-0.63,8.0,≤0.001∗
Sleep medication,0.06 ± 0.25,1.17 ± 1.13,5.29,≤0.001∗
Daytime dysfunction,0.26 ± 0.45,1.24 ± 0.87,5.55,≤0.001∗
Global score,6.7 ± 1.8,15.9 ± 2.3,17.82,≤0.001∗
ISI,3.6 ± 2.2,18.5 ± 4.0,23.35,≤0.001∗
ESS,1.9 ± 1.8,1.7 ± 1.8,0.17,0.893
HAMD-17,8.5 ± 4.8,11.5 ± 3.3,2.69,0.670
