Unnamed: 0,Unnamed: 1,Range,Mean ± SD
Age at implantation [years],,41– 70,55.3 ± 10.1
Sex,"14 M, 4 F",,
Hand dominance,18 RHD,,
Predominant Symptom(s),,,
Tremor,11 (61%),,
Rigidity,6 (33%),,
Bradykinesia,15 (83%),,
Dyskinesia,5 (28%),,
Dystonia,3 (17%),,
Disease duration [years],,4 – 22,11.1 ± 4.5
Hoehn and Yahr Stage,,3 – 4,
Mini Mental Status Exam,,28 – 30,29.6 ± 0.6
Preoperative UPDRS-III OFF,,20 – 62,41.8 ± 11.3
Preoperative UPDRS-III ON,,4 – 42,17.4 ± 10.1
Preoperative UPDRS-III L-DOPA Response [%],,32.3 – 91.5,60.5 ± 16.4
Preoperative L-DOPA equivalent daily dose [mg],,540 – 2160,1381.4 ± 447.4
Postoperative UPDRS-III ON-OFF,,2 – 62,27.1 ± 16.8
Postoperative UPDRS-III ON-ON,,1 – 34,12.8 ± 10.0
Postoperative UPDRS-III Improvement from STN-DBS [%],,19.2 – 81.3,53.5 ± 16.7
Postoperative L-DOPA equivalent daily dose [mg],,320 – 1266,747.8 ± 309.8
