Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,MNI Peak Coordinates,MNI Peak Coordinates,MNI Peak Coordinates
Unnamed: 0_level_1,’q,k,Tmax,X,Y,Z
Salience,0.945,7298,6.8,0,14,44
DMN,0.973,8042,12.8,0,60,18
,0.963,5074,17.6,−28,66,−6
,0.959,6273,14.1,10,−78,52
,0.934,8616,12.1,−26,62,2
,0.975,8889,11.9,38,62,−36
,0.978,4158,19.0,10,28,68
,0.977,8206,12.2,0,54,38
FPN,0.965,4324,16.5,−22,66,20
,0.971,5545,11.7,32,50,38
,0.969,5795,11.8,28,−64,64
,0.974,7746,12.2,−38,−62,56
,0.97,6636,11.4,48,−48,56
,0.961,7784,9.2,−50,14,40
,0.974,7236,13.8,56,18,28
Sensorimotor,0.972,6907,10.9,24,−40,76
,0.933,6603,10.1,58,−4,26
,0.974,6823,13.3,44,−36,64
,0.975,6529,13.6,−42,−38,64
Cerebellum,0.982,4607,15.6,−26,−90,−30
,0.952,6015,11.0,−48,−66,−28
Visual,0.897,9535,11.1,40,62,−36
,0.976,9608,8.8,−40,−50,56
Auditory,0.906,8833,10.9,−62,−18,10
Language,0.955,8759,9.4,−48,−76,22
