Unnamed: 0_level_0,TD,TD,TD,TD,TD,TD,ADHD,ADHD,ADHD,ADHD,ADHD,ADHD,Group comparisons,Group comparisons,Group comparisons,Group comparisons
Unnamed: 0_level_1,Girls(n = 21),Girls(n = 21),Boys(n = 54),Boys(n = 54),All(n = 75),All(n = 75),Girls(n = 20),Girls(n = 20),Boys(n = 52),Boys(n = 52),All(n = 72),All(n = 72),Girls TD vs. ADHD,Boys TD vs. ADHD,All TD vs. ADHD,ADHD boys vs. girls
Unnamed: 0_level_2,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,p values,p values,p values,p values
Age (years),10.3,1.1,10.3,1.2,10.3,1.2,9.8,1.1,10.2,1.4,10.1,1.3,.166,.575,.250,.319
% Male,,,,,72%,72%,,,,,72%,72%,,,.976,
% Minority,38%,38%,48%,48%,45%,45%,35%,35%,33%,33%,33%,33%,.837,.105,.137,.852
SES,53.9,9.4,52.8,10.0,53.1,9.8,54.1,9.4,52.8,9.9,53.1,9.7,.959,.976,.966,.638
Handedness,0.71,0.44,0.61,0.57,0.64,0.54,0.64,0.51,0.60,0.58,0.61,0.56,.684,.906,.774,.771
WISCa FSIQ,112.4,11.6,116.5,13.0,115.4,12.7,111.1,10.6,108.0,11.6,108.9,11.4,.704,.001,.001,.314
WISC GAI,112.8,13.0,118.6,13.9,117.0,13.8,113.6,11.2,112.0,13.7,112.4,13.0,.846,.017,.044,.651
CPRS IA T,47.2,6.1,44.1,5.7,45.0,6.0,82.6,9.1,71.0,8.4,74.3,10.0,< .001,< .001,< .001,< .001
CPRS HI T,48.5,7.5,46.3,5.5,46.9,6.2,75.6,16.3,68.9,14.4,70.8,15.2,< .001,< .001,< .001,.096
ADHD-RS IA,3.2,2.8,3.4,3.0,3.3,2.9,20.2,4.9,18.3,4.4,18.8,4.6,< .001,< .001,< .001,.123
ADHD-RS HI,2.9,2.8,2.4,2.6,2.5,2.6,14.4,8.5,12.4,6.6,12.9,7.2,< .001,< .001,< .001,.298
ADHD PresentationCO:IA (count),,,,,,,16:4,16:4,38:14,38:14,54:18,54:18,,,,.543
% Stim Med,0,0,0,0,0,0,59%,59%,60%,60%,57%,57%,,,,.460
% ODD,0,0,0,0,0,0,50%,50%,31%,31%,36%,36%,,,,.128
