Unnamed: 0_level_0,Sex,Sex,p-Value
Unnamed: 0_level_1,Female (n = 22),Male (n = 25),Unnamed: 3_level_1
"Age (mean ± SD, years)",54.5 ± 10.1,57.6 ± 17.3,0.135a
"Handedness, number of patients (median EHI value)",,,0.567b
Left (EHI < −25),3 (−50),4 (−75),
Right (EHI > + 25),18 (100),18 (97.5),
Ambidextrous (−25 < EHI < + 25),0,2 (0),
Tumor location (number of patients),,,0.343b
Frontal,5,6,
Temporal,9,13,
Parietal,3,1,
Insula,0,2,
Occipital,1,0,
Frontotemporal,2,0,
Frontoparietal,1,2,
Frontoinsula,0,1,
Temporoparietal,1,0,
Tumor classification,,,0.559b
GBM (recurrent GBM),15 (7),20 (8),
Anaplastic astrocytoma,2,3,
AO (recurrent AO),3 (2),1 (0),
Metastasis,2,1,
"Tumor volume (median, IQR, cm3)",23.1 (8.5–34.2),19.2 (9.9–48.8),0.874a
Language dominance,,,0.611b
Left,17,22,
Right,2,1,
Bilateral,3,2,
"Seizures, number of patients",,,0.679b
No,17,18,
Unknown,5,7,
"AED, number of patients",,,0.291b
Yes,10,17,
No,8,5,
Unknown,4,3,
