Task,Cluster size,Brain regions,L/R,BA,Peak MNI coordinates,Peak MNI coordinates,Peak MNI coordinates,Z-values
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,x,y,z,Unnamed: 8_level_1
SC task,Female > Male,,,,,,,
,691,Precuneus,R,7,8,−76,38.0,4.03
,450,Pars opercularis,L,44,−40,14,18.0,7.39
,364,Superior parietal lobule,L,40,−30,−48,68.0,3.88
,Male > Female,,,,,,,
,5069,Precentral gyrus,L,6,−36,−6,60.0,12.82
,,SMA,L,6,−2,1,65.0,10.58
,,Precentral gyrus,R,6,36,−18,68.0,5.47
,1221,Inferior parietal lobule,L,7,−38,−58,50.0,6.06
,413,Rolandic operculum,R,40,54,−14,24.0,4.9
AG task,Female > Male,,,,,,,
,1202,Precuneus,R,7,6,−78,42.0,7.55
,391,Superior parietal lobule,L,40,−40,−42,62.0,6.64
,426,Pars triangularis,L,45,−42,14,22.0,6.47
,Male > Female,,,,,,,
,5068,Precentral gyrus,L,4,−44,−10,54.0,9.36
,,SMA,L,6,−4,−4,70.0,8.53
,1439,Precuneus,L,31,0,−64,32.0,7.43
,,Angular gyrus/IPL,L,39/40,−44,−58,46.0,7.39
,168,Rolandic operculum,R,40,54,−24,24.0,5.02
