Cluster size,Brain regions,L/R,BA,Peak MNI coordinates,Peak MNI coordinates,Peak MNI coordinates,Z-values
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,x,y,z,Unnamed: 7_level_1
Female > Male,,,,,,,
403,Cuneus/precuneus,R,7,8,−78,38.0,7.62
286,Pars triangularis/opercularis,L,44,−42,14,22.0,9.26
230,Superior parietal lobule,L,7,−36,−48,62.0,6.49
Male > Female,,,,,,,
7542,SMA,L,6,−2,−2,66.0,12.17
,Precentral gyrus,L,6,−46,−10,50.0,13.66
,Post-central gyrus,L,7,−6,−46,66.0,6.42
,Precentral gyrus,R,6,46,−6,42.0,6.28
,Superior frontal gyrus,L,8,−6,42,48.0,5.96
2303,Inferior parietal lobule,L,39/7,−42,−58,48.0,8.41
458,Rolandic operculum,R,40,54,−24,24.0,6.75
286,Posterior cingulate gyrus,R,23,0,−30,34.0,6.75
